Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,FALLBACK,NLD,Category_IRI,Parent_IRI
trap,Geological Structure,rdfs:subClassOf,Geological Structure,False,False,"A trap is a geological configuration of reservoir and seal rocks that confines and holds buoyant hydrocarbons, formed by a combination of structural and/or stratigraphic elements. In the Brazilian Pre-Salt, the dominant style is a structural trap characterized by a four-way closure of the carbonate reservoir against the overlying thick salt layer, which acts as the main seal.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
half-graben,Geological Structure,rdfs:subClassOf,Geological Structure,False,False,"A half-graben is an asymmetric structural basin that is bounded by a major normal fault on one side and a tilted, gently dipping ramp on the other. Formed in extensional or transtensional tectonic settings such as continental rifts, they are filled with syn-tectonic sediments that typically exhibit a wedge-shaped, divergent geometry thickening towards the main bounding fault.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
normal fault,fault,rdfs:subClassOf,Geological Structure,False,False,"A normal fault is a dip-slip fault that accommodates crustal extension, characterized by the hanging wall block moving downward relative to the footwall block. In the Brazilian Pre-Salt basins, these faults are the primary structures formed during the Aptian rifting phase, typically exhibiting NNE to NE-SW strikes and bounding major rift blocks. They are fundamental in creating the horst and graben geometries that control the deposition and trapping of hydrocarbons within the pre-salt section.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
structural low,Structural Feature,rdfs:subClassOf,Geological Structure,False,False,"A structural low is a structural feature that is topographically lower in elevation than adjacent areas, typically formed by tectonic processes such as faulting. In extensional rift settings like the Brazilian Pre-Salt, these features often manifest as grabens or half-grabens flanking structural highs and serve as depocenters for sedimentary sequences, which may exhibit distinct seismic facies like onlapping, high-amplitude parallel reflectors.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
fault zone,fracture,rdfs:subClassOf,Geological Structure,False,False,"A fault zone is a tabular zone of brittle deformation that consists of numerous, geometrically and kinematically related fault strands and branches. It accommodates significant displacement and is characterized by internal complexity, including high-strain fault branches and low-strain intra-fault domains that often control the location of syn-rift depocenters. Such zones can be highly segmented, exhibit varying fault polarity, and evolve through processes of fault growth and linkage.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
florianópolis high,structural high,rdf:type,Geological Structure,False,False,"Florianópolis High is a regional structural high that defines the southern boundary of the Santos Basin, separating it from the Pelotas Basin on the southeastern Brazilian continental margin. This basement feature acted as a critical paleogeographic barrier during the Aptian, restricting marine circulation from the south and enabling the deposition of the extensive pre-salt evaporite sequence.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
hydrothermal vent,Geological Structure,rdfs:subClassOf,Geological Structure,False,False,"A hydrothermal vent is a geological structure, often forming a pipe-like complex, that is created by the fracturing, transport, and eruption of geothermally heated fluids and associated sediments. In the Brazilian Pre-Salt, these features are identified on seismic data as mounds or vertical discontinuities and are interpreted as conduits for deep-seated fluids, including mantle-derived CO2, which influence diagenesis and can form associated travertine deposits.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
texture,Geological Structure,rdfs:subClassOf,Geological Structure,False,False,"Texture is a fundamental physical property of a rock that describes the size, shape, and arrangement of its constituent components, such as crystals, grains, and cement. In Pre-Salt lacustrine carbonates, characteristic textures like spherulitic, shrub-like, and laminated cementstones provide key evidence for interpreting depositional models, which range from microbial to abiotic chemogenic processes.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
shrub,Geological Structure,rdfs:subClassOf,Geological Structure,False,False,"A shrub is a dendritic carbonate growth structure that is characterized by an upward-bifurcating morphology composed of radiating bundles of fibrous-to-prismatic calcite crystals. These structures grow upward in-situ within lacustrine settings, creating positive relief and significant primary inter-branch porosity, and are a key component of Pre-Salt boundstone reservoir facies.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
Structural Feature,Geological Structure,rdfs:subClassOf,Geological Structure,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
aptian,Geological Age,rdf:type,Geological Time Interval,False,False,"Aptian is a geological age of the Early Cretaceous epoch that, in the context of the South Atlantic basins, encompasses the critical period of deposition for the pre-salt petroleum system. This interval is marked by the accumulation of vast lacustrine carbonate systems, which form the prolific reservoirs of the Barra Velha Formation, and the subsequent deposition of the overlying Ariri Formation evaporites that act as the regional seal. In Brazilian stratigraphy, this age corresponds to the Alagoas local stage and is globally dated from approximately 125 to 113 million years ago.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000003
cretaceous,Geological Time Interval,rdf:type,Geological Time Interval,False,False,"Cretaceous is a geologic period of the Mesozoic Era that spans from approximately 145 to 66 million years ago, following the Jurassic and preceding the Paleogene. The Early Cretaceous epoch is particularly significant in South Atlantic geology as it encompasses the rifting of Gondwana and the subsequent deposition of the economically important pre-salt lacustrine carbonate sequences in basins such as Santos and Campos.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
barremian,Geological Time Interval,rdf:type,Geological Time Interval,False,False,"Barremian is a geological stage of the Early Cretaceous epoch that chronologically follows the Hauterivian and precedes the Aptian, spanning from approximately 131 to 126 million years ago. Within the South Atlantic pre-salt successions, this stage represents a critical period of continental rifting characterized by the deposition of lacustrine and fluvial-deltaic sediments, corresponding to the local Aratu, Buracica, and Jiquiá stages.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
early cretaceous,Geochronological Epoch,rdf:type,Geological Time Interval,False,False,"Early Cretaceous is a geochronological epoch that, in the context of the South Atlantic, is characterized by the continental rifting of Gondwana and the subsequent deposition of thick lacustrine sequences. This interval, encompassing the Hauterivian through Albian stages, is marked by the formation of extensive rift basins where the economically significant pre-salt carbonate reservoirs were deposited. The epoch culminates with the deposition of widespread Aptian evaporites, signifying the transition towards the opening of the South Atlantic Ocean.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,
hauterivian,Geological Age,rdf:type,Geological Time Interval,False,False,"Hauterivian is a geologic age of the Early Cretaceous Epoch that spans the time from approximately 132.6 to 129.4 million years ago, following the Valanginian and preceding the Barremian. In the context of Brazilian marginal basins like the Santos and Campos, the Hauterivian corresponds to the onset of the rift phase, characterized by the development of half-grabens and extensive syn-rift volcanism. This initial rifting stage is associated with the deposition of the volcanic and volcaniclastic rocks of the Camboriú Formation, which form the economic basement for the overlying pre-salt reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000003
late aptian,Geochronological Epoch,rdf:type,Geological Time Interval,False,False,"Late Aptian is a geochronologic epoch that, in traditional South Atlantic tectono-stratigraphic models, represents the period of major evaporite deposition that concluded the pre-salt sequence. While historically dated to approximately 115 million years ago and associated with the end of rifting, this timing is now highly debated, with significant evidence suggesting the main salt was deposited earlier, in the Early Aptian.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,
lower cretaceous,Geochronological Epoch,rdf:type,Geological Time Interval,False,False,"Lower Cretaceous is the earlier of two epochs of the Cretaceous Period that, in the context of the South Atlantic, encompasses the critical syn-rift and sag phases of continental breakup and the deposition of the entire pre-salt lacustrine petroleum system. This epoch includes the Hauterivian, Barremian, Aptian, and Albian stages, during which the key lacustrine source rocks and microbial carbonate reservoirs of the Brazilian Pre-Salt were deposited prior to the widespread Aptian salt.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,
post-rift phase,Geological Time Interval,rdfs:subClassOf,Geological Time Interval,False,False,"The post-rift phase is a tectono-stratigraphic stage in basin evolution that follows the active rifting phase and is primarily driven by broad thermal subsidence, creating accommodation space for widespread deposition. In the context of the Brazilian Pre-Salt, this phase, also known as the sag or transitional phase, encompasses the deposition of the Aptian lacustrine carbonates of the Barra Velha Formation. This depositional sequence culminates with the precipitation of thick evaporite layers of the Ariri Formation, which precedes the final establishment of a passive margin.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
late cretaceous,Geochronological Epoch,rdf:type,Geological Time Interval,False,False,"The Late Cretaceous is a geologic epoch that constitutes the final division of the Cretaceous Period, extending from approximately 100.5 to 66 million years ago. Within the Brazilian Pre-Salt domain, this time interval is significant for post-rift tectonic and magmatic events, including Santonian-Campanian volcanism, that drove deep-burial hydrothermal alteration of the underlying Early Cretaceous carbonate reservoirs. This late-stage diagenesis had a profound impact on the final characteristics of the pre-salt petroleum system.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,
phanerozoic,Geological Time Interval,rdf:type,Geological Time Interval,False,False,"Phanerozoic is the current and youngest geologic eon that is characterized by the proliferation of complex, multicellular life, including animals and plants, as evidenced by an abundant fossil record. It spans from approximately 539 million years ago to the present day and is subdivided into the Paleozoic, Mesozoic, and Cenozoic eras. The Aptian-age Pre-Salt carbonate successions of the South Atlantic are a significant geological feature within the Mesozoic portion of this eon.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
precambrian,Geological Time Interval,rdf:type,Geological Time Interval,False,False,"Precambrian is a supereon of geologic time that spans from the formation of Earth to the beginning of the Cambrian Period, approximately 539 million years ago. In the context of the Brazilian Pre-Salt, the term refers to the crystalline igneous and metamorphic rocks that constitute the continental basement upon which the Mesozoic rift basins were deposited. The structural fabric inherited from this Precambrian basement played a critical role in controlling the geometry and evolution of the fault systems that developed during the rifting phase.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
Geological Age,Geological Time Interval,rdfs:subClassOf,Geological Time Interval,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
Geochronological Epoch,Geological Time Interval,rdfs:subClassOf,Geological Time Interval,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
mound,Carbonate Buildup,rdfs:subClassOf,Mound Unit,False,False,"A mound is a carbonate buildup that forms a positive topographic feature whose genesis is strongly controlled by fluid expulsion along deep-seated fault systems. In the Brazilian Pre-Salt, these features are identified on seismic data as isolated or ridge-like bodies with a mounded external geometry, chaotic or convex internal reflections, and can reach heights of several hundred meters. Their formation is commonly attributed to precipitation from sub-lacustrine hydrothermal vents or springs, creating significant lacustrine carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000015,
carbonate mound,Carbonate Buildup,rdfs:subClassOf,Mound Unit,False,False,"A carbonate mound is a large-scale carbonate buildup that exhibits a positive, mounded external geometry and is formed in a lacustrine setting through processes linked to hydrothermal fluid expulsion along major fault systems. In the Brazilian Pre-Salt, these features are identified on seismic data by their mounded shape and chaotic or convex internal reflections, representing significant reservoir intervals whose growth was synchronous with fault activity along horst blocks.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000015,
Carbonate Buildup,Mound Unit,rdfs:subClassOf,Mound Unit,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000015,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000015
Igneous Rock,Rock,rdfs:subClassOf,Rock,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
basalt,Igneous Rock,rdfs:subClassOf,Rock,False,False,"Basalt is a mafic extrusive igneous rock that, in the context of the Brazilian Pre-Salt, occurs as tholeiitic flood basalts and lava flows representing major magmatic events within the syn-rift sequence. These volcanic rocks typically form the acoustic basement or are found as part of the Camboriú and Cabiúnas Formations, and can also be intercalated with volcanoclastics within the overlying Piçarras Formation.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,
tholeiitic basalt,basalt,rdfs:subClassOf,Rock,False,False,"Tholeiitic basalt is an extrusive igneous rock of the tholeiitic magma series that, in the context of the Brazilian Pre-Salt, is associated with the Early Cretaceous rifting of the South Atlantic. These basalts form the economic basement as part of the Camboriú and Cabiúnas formations and also occur as volcanic flows interbedded within the pre-salt rift succession. Geochemically and temporally linked to the Paraná-Etendeka Large Igneous Province, these rocks represent the initial magmatic phase of the continental break-up.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,
flood basalt,basalt,rdfs:subClassOf,Rock,False,False,"Flood basalt is an extensive succession of basaltic lava flows that results from the voluminous extrusion of mafic magma onto a continental surface, often associated with rifting. In the context of the South Atlantic margin, these tholeiitic basalts, such as those of the Cabiúnas and Camboriú Formations, were extruded during the early rift phase and constitute the economic basement for the overlying Pre-Salt carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,
gneiss,Rock,rdfs:subClassOf,Rock,False,False,"Gneiss is a high-grade foliated metamorphic rock that is characterized by distinct compositional banding where light-colored minerals are segregated from dark-colored minerals. In the context of the South Atlantic pre-salt basins, gneiss constitutes a major component of the crystalline basement which, upon erosion during rifting, provided clasts for the syn-rift conglomerates.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
sediment,Sediment,rdfs:subClassOf,Sediment,False,False,"Sediment is naturally occurring material that is transported and deposited by physical processes or is chemically or biochemically precipitated from solution. This material includes a wide range of compositions, such as siliciclastic particles, carbonate grains (muds, grainstones), and chemical precipitates like silicate gels. The accumulation of these materials, often quantified by sedimentation rates, forms the sedimentary fill that comprises depositional sequences within a basin.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031
clay,Sediment,rdfs:subClassOf,Sediment,False,False,"Clay is a group of authigenic magnesian phyllosilicate minerals that precipitates directly from alkaline, silica- and magnesium-rich lacustrine waters. In the Brazilian Pre-Salt, these minerals are primarily stevensite and saponite, occurring as laminated muds or as interstitial components within carbonate facies. The subsequent dissolution of these chemically unstable clays is a critical diagenetic process responsible for creating significant secondary porosity and enhancing reservoir quality.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031
Sedimentary Grain,Sediment,rdfs:subClassOf,Sediment,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031
intraclast,Sedimentary Grain,rdfs:subClassOf,Sediment,False,False,"An intraclast is a sedimentary carbonate grain that is composed of reworked fragments of penecontemporaneous Pre-Salt lithologies, such as microbial shrubs, spherulites, or laminated clays, eroded from within the lacustrine depositional basin. These clasts are transported and redeposited by currents, forming intraclastic calcarenites and calcirudites. In the Pre-Salt, these resedimented deposits often constitute significant reservoirs due to well-developed interparticle porosity.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031,
peloid,Sedimentary Grain,rdfs:subClassOf,Sediment,False,False,"A peloid is a sedimentary grain that is composed of microcrystalline to cryptocrystalline material, typically carbonate or Mg-silicate, and lacks a discernible internal structure. These sand-sized allochems are commonly rounded and can form through various mechanisms, including fecal pelleting, the micritization of other grains, or the aggregation of mud. In the context of the Brazilian Pre-Salt, both carbonate and Mg-silicate peloids are significant grain constituents in reservoir facies.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031,
facies,Sedimentary Facies,rdfs:subClassOf,Sedimentary Facies,False,False,"Facies is a body of rock that is defined by a distinctive set of observable lithological, biological, and physical characteristics. These characteristics reflect the specific depositional or diagenetic environment in which the rock was formed, with examples in the Pre-Salt including coquinas, spherulites, and laminates. In petroleum geology, the term also extends to seismic facies, which are seismically identifiable units defined by their reflection patterns and attributes, used to infer lithology and depositional settings away from well control.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029
lithology,Sedimentary Facies,rdfs:subClassOf,Sedimentary Facies,False,False,"Lithology is the characterization of a rock or stratigraphic unit that is based on its physical attributes, including composition, mineralogy, texture, and grain size. In the context of Brazilian Pre-Salt carbonates, this involves identifying specific rock types such as shrubstones, spherulitestones, grainstones, and rudstones, which result from complex depositional and diagenetic processes. This characterization is fundamental for defining reservoir facies, interpreting depositional environments, and constructing geological models.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029
reservoir facies,facies,rdfs:subClassOf,Sedimentary Facies,False,False,"Reservoir facies is a distinct rock unit that possesses sufficient porosity and permeability to store and transmit hydrocarbons. In the Brazilian Pre-Salt, these are predominantly lacustrine carbonates whose reservoir potential is defined by specific depositional textures and subsequent diagenetic alteration. Key examples include coquinas, in-situ crystal shrubs, and reworked grainstones composed of spherulites.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
depositional facies,facies,rdfs:subClassOf,Sedimentary Facies,False,False,"Depositional facies is a body of rock that is characterized by a distinctive set of lithological, biological, and physical attributes reflecting its origin within a specific depositional environment. In the context of the Pre-Salt, these facies are typically associated with lacustrine systems and are often defined by the combined product of primary depositional conditions and subsequent syngenetic or eodiagenetic mineral precipitation. Their spatial distribution and stacking patterns, often interpreted from seismic data, are fundamental for reconstructing the evolution of depositional systems and predicting reservoir quality.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
crystal shrub,facies,rdfs:subClassOf,Sedimentary Facies,False,False,"A crystal shrub is a distinctive carbonate rock facies that is characterized by an in-situ, dendritic to plumose arrangement of vertically oriented, fibrous calcite crystals. Commonly forming a type of boundstone, this facies is a primary depositional feature of the shallow, alkaline lacustrine systems of the Brazilian Pre-Salt. Crystal shrubs constitute a significant reservoir rock, exhibiting complex porosity networks that include vuggy, intracrystalline, and intergranular pores.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
microbial microstructure,Sedimentary Facies,rdfs:subClassOf,Sedimentary Facies,False,False,"Microbial microstructure is a microscopic-scale fabric or texture that is formed by or preserves evidence of microbial activity, such as biofilms or mats. In Pre-Salt carbonates, these features commonly manifest as clotted (grumous) peloidal fabrics, filament moulds, or laminated textures observed in thin section. Although often rare within the overall Barra Velha Formation, these microstructures are a key component in the interpretation of microbialites and can contribute to the formation of boundstone reservoir facies.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029
carbonate reservoir,reservoir,rdfs:subClassOf,Sedimentary Geological Object,False,False,"A carbonate reservoir is a subsurface rock body that is composed of carbonate minerals and possesses sufficient porosity and permeability to store and transmit hydrocarbons. In the Brazilian Pre-Salt, these reservoirs are typically complex successions of facies, such as spherulites, shrubs, and stromatolites, deposited in alkaline lacustrine environments. Their significant faciological and diagenetic heterogeneity often results in reservoir compartmentalization, impacting connectivity and hydrocarbon distribution.",,
reservoir,Rock,rdfs:subClassOf,Sedimentary Geological Object,False,False,"A reservoir is a subsurface rock formation that possesses sufficient porosity and permeability to store and transmit fluids such as oil and gas. In the Brazilian Pre-Salt, reservoirs are typically complex carbonate bodies whose quality and heterogeneity are controlled by the interplay of depositional facies, such as shrubstones and grainstones, and subsequent diagenetic and tectonic events. These formations contain commercially significant accumulations of hydrocarbons, often within a structural or stratigraphic trap.",,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
stromatolite,Rock,rdfs:subClassOf,Sedimentary Geological Object,False,False,"Stromatolite is an organosedimentary deposit that is formed by the trapping, binding, and precipitation of minerals by a benthic microbial community, resulting in a characteristically laminated and often convex-upward growth structure. In the context of the Brazilian Pre-Salt, stromatolites are a facies within the Barra Velha Formation that can exhibit significant fenestral and vug porosity, contributing to reservoir quality.",,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
seal,Rock,rdfs:subClassOf,Sedimentary Geological Object,False,False,"A seal is a low-permeability rock unit that forms a barrier to fluid flow, capable of trapping petroleum columns within a reservoir. Seals are categorized as static, which are completely impermeable over geological time, or dynamic, which are low-permeability baffles that restrict flow over production timescales but may allow pressure equilibration over geological time.",,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
Rock,Sedimentary Geological Object,rdfs:subClassOf,Sedimentary Geological Object,True,False,,,
evaporite,Sedimentary Rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Evaporite is a chemical sedimentary rock that is formed by the precipitation of dissolved minerals from a body of water as it undergoes evaporation. In the Brazilian Pre-Salt, evaporites were deposited during the Aptian in both lacustrine and shallow marine settings and are primarily composed of halite and anhydrite, with Mg-rich clays also forming in some lacustrine environments. These deposits, particularly the thick, ductile halite sections, form the regional seal for the underlying carbonate reservoirs and control post-rift structural deformation through salt tectonics.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032
carbonate,carbonate rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Carbonate is a sedimentary rock that is primarily composed of minerals containing the carbonate anion (CO3)2−, such as calcite and dolomite. In the Brazilian Pre-Salt, these rocks are characteristically lacustrine, forming through complex chemical and biological precipitation in alkaline lake systems to create extensive reservoir build-ups.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,
coquina,carbonate rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Coquina is a bioclastic carbonate rock that is predominantly composed of reworked and accumulated mollusk shells, primarily bivalves and gastropods. Typically occurring as grainstones, packstones, and rudstones deposited in lacustrine rift settings, these rocks form important Pre-Salt reservoirs with significant moldic, vuggy, and intergranular porosity.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,
halite,evaporite,rdfs:subClassOf,Sedimentary Rock,False,False,"Halite is an evaporite mineral composed of sodium chloride (NaCl) that constitutes the primary mobile component of the Aptian salt layer in the South Atlantic marginal basins. Due to its highly ductile and plastic behavior compared to associated anhydrite, it flows under geological stress to form massive salt bodies and diapirs, which create critical structural traps for Pre-Salt hydrocarbon accumulations.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,
microbialite,Sedimentary Rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Microbialite is an organosedimentary rock that is formed through the trapping and binding of sediment or the precipitation of minerals as a result of the growth and metabolic activity of microorganisms. These structures include various forms such as stromatolites, dendrolites, oncoids, and microbial laminites. In the Brazilian Pre-Salt, microbialites are considered to form buildups within lacustrine carbonate successions like the Barra Velha Formation, although their actual volumetric contribution is often debated and may be less significant than the informal nomenclature suggests.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032
shale,Sedimentary Rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Shale is a fine-grained, laminated, clastic sedimentary rock that, in the context of the Brazilian Pre-Salt, is characterized by its high radioactivity and potential to act as both a source rock and a vertical seal. These shales, such as the Jiquia Member, form significant permeability barriers that can vertically segment reservoirs, leading to fluid compartmentalization and the formation of perched water tables.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032
travertine,carbonate rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Travertine is a chemically precipitated carbonate rock that is deposited in continental settings from hydrothermal springs. In the Pre-Salt context, it is associated with subaerial exposure and forms mound-type and fissure ridge-type deposits, representing a potential origin for some isolated carbonate buildups.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,
grainstone,Grain-Supported Sedimentary Carbonate Rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Grainstone is a grain-supported sedimentary carbonate rock that is characterized by the absence of a mud matrix, indicating deposition in a high-energy environment where currents prevent the accumulation of fine sediment. In the Pre-Salt lacustrine setting, this facies is commonly composed of mollusk fragments, spherulites, or intraclasts and represents a critical reservoir target due to its high primary intergranular porosity.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,
source rock,Sedimentary Rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Source rock is a sedimentary rock that contains sufficient organic matter to generate and expel hydrocarbons when subjected to heat and pressure. In the Brazilian Pre-Salt, the primary source rocks are organic-rich calcareous shales deposited in distal lacustrine environments, such as those of the Itapema Formation. These rocks form a critical component of a petroleum system, providing the hydrocarbon charge for adjacent or overlying reservoir rocks.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032
carbonate rock,Sedimentary Rock,rdfs:subClassOf,Sedimentary Rock,False,False,"A carbonate rock is a class of sedimentary rock that is composed primarily of carbonate minerals, such as calcite, aragonite, or dolomite. These rocks are characterized by their chemical reactivity with dilute acid and can form through various biological, chemical, or detrital processes. In the Brazilian Pre-Salt, lacustrine carbonates, including coquinas and microbialites, constitute the primary reservoir facies.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032
lacustrine carbonate,carbonate rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Lacustrine carbonate is a sedimentary rock that is composed primarily of carbonate minerals precipitated or accumulated within a lacustrine (lake) environment. In the context of the South Atlantic Pre-Salt, these are typically alkaline carbonates formed during the Aptian rift phase, where deposition was driven by a combination of microbial activity and widespread abiotic chemical precipitation influenced by mantle-derived CO2 and volcanism. These deposits can form extensive platform-like geometries and constitute the primary reservoir rock in the region.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,
limestone,carbonate rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Limestone is a sedimentary rock that is composed principally of calcium carbonate (CaCO3), typically in the form of the mineral calcite. In the context of the Pre-Salt, it is a dominant lithology forming a wide range of lacustrine carbonate facies, including bioclastic grainstones, packstones, wackestones, and laminated mudstones. Its components include various allochems, such as mollusk shells, and a matrix of lime mud (micrite), and it can be subject to diagenetic alteration like dolomitization.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,
siltstone,Sedimentary Rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Siltstone is a siliciclastic sedimentary rock that is composed predominantly of silt-sized particles. Within the Pre-Salt lacustrine successions, it often occurs as a low-energy, hybrid lithology in depocenters, characterized by a mixture of siliciclastic silt and carbonate material such as mollusk shells. These deposits are found within both syn-rift and sag sequences and can exhibit sedimentary structures like horizontal lamination or bioturbation.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032
mudstone,Fine-Grained Sedimentary Rock,rdfs:subClassOf,Sedimentary Rock,False,False,"Mudstone is a fine-grained sedimentary rock that, in the Brazilian Pre-Salt context, is primarily composed of laminated magnesian clays with variable subordinate amounts of terrigenous silt, calcite, dolomite, and silica. These rocks encompass a wide compositional range, including organic-rich varieties that are critical petroleum source rocks deposited in low-energy lacustrine environments.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000032,
