Term,Category,Reasoning,NLD,Context_Used,Condition
precambrian basement,Geological Object,"The term refers to a large-scale, rigid entity composed of crystalline rocks that serves as a structural foundation, fitting the definition of a Geological Object.","Precambrian basement is a complex of crystalline rocks that was formed during the Precambrian eons and serves as the structural foundation upon which younger sedimentary basins are deposited. This complex typically consists of igneous and high-grade metamorphic rocks, such as granites, gneisses, and schists. In petroleum exploration, it is generally considered non-reservoir 'economic basement', but its paleotopography and structural fabric significantly influence the deposition of overlying sedimentary sequences and the development of structural traps.",False,B
weathering,Geological Process,"The definition explicitly describes weathering as a set of physical, chemical, and biological processes that break down rocks and minerals.","Weathering is a set of exogenic processes that breaks down rocks, soils, and minerals at or near the Earth's surface through physical, chemical, and biological means, with no or minimal transport of the resulting material. This process is fundamental in creating unconformities and can significantly enhance reservoir quality by developing secondary porosity, such as through the karstification of exposed carbonate platforms.",False,B
silicification,Geological Process,The definition explicitly identifies silicification as a diagenetic process that modifies the composition of rocks by replacing minerals with silica.,"Silicification is a diagenetic process that involves the replacement of pre-existing minerals, particularly carbonates, by silica minerals such as quartz, chert, or opal. This process can significantly alter reservoir quality by either occluding porosity or creating a rigid framework that preserves pore space during burial.",False,B
depositional facies,Sedimentary Facies,"The term refers to the sum of sedimentological characteristics of a rock body, which is the exact definition of a Sedimentary Facies.","Depositional facies is a body of rock that is characterized by a distinct set of lithological, biological, and sedimentary structural attributes reflecting its formation within a specific depositional environment. In petroleum geology, the mapping of depositional facies is critical for predicting the distribution and quality of reservoir, source, and seal rocks, such as the lacustrine carbonate reservoirs of the Brazilian Pre-Salt.",False,B
fan delta,Depositional System,"The definition explicitly identifies a fan delta as a 'depositional system' composed of linked depositional elements, matching the definition of a Depositional System.","A fan delta is a clastic depositional system that is formed where an alluvial fan progrades directly into a standing body of water, such as a lake or sea. It is characterized by a triangular or fan-shaped morphology and coarse-grained, poorly sorted sediments deposited on a steep subaqueous slope. These systems are common along tectonically active margins, such as the fault-bounded borders of rift basins, and can form significant reservoirs.",False,B
gas,Earth Fluid,"The NLD defines gas as a naturally occurring fluid mixture of hydrocarbons found in geological systems, which directly aligns with the definition of an Earth Fluid.","Gas is a naturally occurring mixture of hydrocarbon gases that is found in a gaseous state at standard temperature and pressure conditions. It consists predominantly of methane (CH4) but may also contain varying amounts of other higher alkanes and non-hydrocarbon gases such as carbon dioxide (CO2) and nitrogen (N2). In petroleum systems, it can exist as free gas in a gas cap, as associated gas dissolved in crude oil, or as non-associated gas in dedicated gas reservoirs.",False,B
deep water,site,"The NLD describes a depositional environment defined by its location and depth, which corresponds to a BFO site, an immaterial entity whose boundaries are determined in relation to material entities.","Deep water is a marine or lacustrine depositional environment that is located basinward of the continental or platform shelf break, generally in water depths exceeding 200 meters. In petroleum geology, this environment is characterized by sediment gravity flows, such as turbidites and debrites, which can form significant hydrocarbon reservoirs in slope and basin floor settings.",False,B
lula field,Depositional System,"The NLD describes the Lula field as a collection of producing carbonate reservoirs, which aligns with the definition of a Depositional System as an aggregate of linked Depositional Units.","Lula field is a giant offshore oil and gas field located in the Santos Basin, Brazil, that produces from carbonate reservoirs of the pre-salt succession. The primary reservoirs are Aptian-age microbial and bioclastic carbonates of the Barra Velha Formation, representing one of the most significant discoveries in the Brazilian Pre-Salt play. Originally named Tupi, the field was renamed Lula in 2020.",False,B
late cretaceous,Geological Time Interval,"The NLD explicitly defines the term as a geological epoch spanning a specific time interval, which directly matches the definition of a Geological Time Interval.","Late Cretaceous is a geological epoch of the Mesozoic Era that spans the time interval from approximately 100.5 to 66 million years ago, representing the final part of the Cretaceous Period. In the context of the South Atlantic, this epoch is marked by significant thermal subsidence following the main rifting phase, leading to the deposition of thick marine clastic and carbonate sequences of the post-salt section. These deposits form the primary overburden for the underlying Aptian pre-salt petroleum systems, playing a critical role in their thermal maturation and preservation.",False,B
lake water,Earth Fluid,"The NLD describes an aqueous medium (water) that occupies a geological basin, which is a direct instance of an Earth Fluid.","Lake water is the aqueous medium that occupies a lacustrine basin and whose specific geochemical properties control sedimentation and diagenesis. In the context of the Brazilian Pre-Salt, this water was characterized by high alkalinity and variable salinity, often exhibiting strong density and chemical stratification. These conditions were critical for promoting the widespread precipitation of carbonate reservoir facies and the preservation of organic matter in anoxic bottom waters, which formed world-class source rocks.",False,B
marine environment,site,"A marine environment is a three-dimensional region defined by the presence of seawater where geological processes like deposition occur, matching the definition of a site.","A marine environment is a depositional environment that is characterized by the presence of seawater. It is broadly classified by water depth and distance from shore into zones such as neritic, bathyal, and abyssal, each with distinct sedimentary, chemical, and biological characteristics that influence the potential for petroleum source and reservoir rock deposition.",False,B
petroleum system,Depositional System,"A petroleum system is a collection of genetically related geological elements (source, reservoir, seal rocks) that function as a unit, which aligns with the definition of a Depositional System as an aggregate of linked geological units.","A petroleum system is a unified natural system that encompasses all the essential geological elements and processes required for the formation and accumulation of hydrocarbons. The essential elements include a source rock, reservoir rock, seal rock, and overburden rock, while the critical processes are trap formation and the generation, migration, and accumulation of petroleum. The system is defined by a specific active source rock and all the genetically related oil and gas accumulations, providing a framework for assessing exploration risk.",False,B
pyramid lake,site,"Pyramid Lake is a specific geographic feature, a depression in the Earth's surface filled with water, which corresponds to the definition of a site as a three-dimensional entity defined in relation to material entities.","Pyramid Lake is a terminal alkaline lake in Nevada that is a remnant of the Pleistocene Lake Lahontan, characterized by extensive modern and ancient tufa formations. Due to its unique hydrochemistry and associated microbial carbonate precipitates, it serves as a critical modern analog for understanding the depositional environments and reservoir facies of the lacustrine carbonate systems of the Brazilian Pre-Salt.",False,B
ooid,Geological Object,"An ooid is a discrete, coated sedimentary grain, which fits the definition of a Geological Object as a rigid entity with its own identity and unity criteria, like a crystal or nodule.","An ooid is a coated sedimentary carbonate grain that is characterized by a nucleus surrounded by a cortex of concentric laminae and is typically less than 2 mm in diameter. They form in high-energy, shallow, carbonate-saturated aquatic environments, such as the lacustrine shoals of the Pre-Salt, where agitation allows for the regular precipitation of carbonate layers around a nucleus. Accumulations of ooids form oolitic grainstones, which often possess high primary interparticle porosity and can constitute significant hydrocarbon reservoirs.",False,B
platform,Depositional Unit,"A platform is described as a large-scale, mappable depositional body built from sediment accumulation, which directly aligns with the definition of a Depositional Unit.","A platform is a broad, relatively flat-topped depositional body that is built up primarily by the accumulation of carbonate sediments in a shallow marine or lacustrine setting. Within the Brazilian Pre-Salt, these features are extensive lacustrine carbonate platforms that developed during the sag phase and controlled the distribution of key microbialite and coquina reservoir facies.",False,B
shrub,Sedimentary Geological Object,"The term refers to a distinct microbial carbonate structure, which is a type of geological object constituted by sedimentary material.","A shrub is a type of microbial carbonate structure that is characterized by a distinctive branching, bush-like morphology. These structures form through the organomineralization of microbial communities, resulting in calcite precipitation that creates a complex internal fabric. In the context of the Brazilian Pre-Salt, shrubs are a fundamental building block of the lacustrine carbonate reservoirs, contributing significantly to reservoir volume and heterogeneity.",False,B
sandstone,Sedimentary Rock,The definition explicitly identifies sandstone as a type of clastic sedimentary rock composed of sand-sized grains.,"Sandstone is a clastic sedimentary rock that is composed predominantly of sand-sized mineral, rock, or organic fragments, typically ranging from 0.0625 to 2 millimeters in diameter. The framework grains, most commonly quartz, are bound together by a mineral cement or a finer-grained matrix. Due to its typically high porosity and permeability, sandstone constitutes one of the most significant conventional reservoir rock types in petroleum systems worldwide.",False,B
silica cement,Earth Material,"Silica cement is a natural amount of solid mineral matter that fills pore spaces within a rock, fitting the definition of an Earth Material.","Silica cement is a type of authigenic mineral precipitate that is composed of silica (SiO2) and fills the pore spaces of a sedimentary rock, binding the grains together. It commonly occurs as syntaxial quartz overgrowths on detrital quartz grains or as microcrystalline quartz (chert) and chalcedony, and its precipitation generally reduces reservoir quality by occluding primary and secondary porosity.",False,B
south atlantic,site,"The South Atlantic is an ocean basin, which is a large-scale three-dimensional site whose boundaries are defined by the surrounding continental landmasses.","The South Atlantic is an ocean basin that formed during the Mesozoic Era through the rifting and subsequent separation of the South American and African continents. Its tectonic evolution governed the creation of the conjugate passive margins, including the extensive rift systems that host the prolific Pre-Salt petroleum systems of Brazil and West Africa. The basin's history progressed from an early continental rift phase, characterized by lacustrine deposition, to a later marine drift phase following the establishment of a permanent oceanic connection.",False,B
basement high,Geological Object,"A basement high is a distinct, uplifted block of rock, which is a rigid entity with its own identity and unity criteria, fitting the definition of a Geological Object.","A basement high is an uplifted block of crystalline basement rock that forms a positive topographic or structural feature influencing the deposition of overlying sedimentary strata. In rift settings, such as the Brazilian Pre-Salt, these features are fundamental in controlling the architecture of syn-rift and post-rift sequences, often localizing the development of carbonate reservoirs and influencing hydrocarbon migration and trapping.",False,B
climate change,Geological Process,The NLD describes it as a long-term shift and a series of processes that control and modify the deposition and character of geological objects like sedimentary facies.,"Climate change is a long-term shift in global or regional climate patterns that involves significant and lasting changes in average weather conditions, such as temperature, precipitation, and atmospheric circulation. In the geological record, climate change is evidenced by variations in sedimentary facies, isotopic signatures, and fossil assemblages, which reflect past environmental fluctuations. For the Brazilian Pre-Salt, major climatic shifts during the Aptian, including periods of aridification, are considered a primary control on the deposition and character of the lacustrine carbonate reservoir facies.",False,B
deformation,Geological Process,"The definition explicitly states that deformation is a geological process that changes the shape, size, or orientation of a rock body.","Deformation is a geological process that changes the original shape, size, or orientation of a rock body in response to applied stress. This process includes brittle faulting and ductile folding, which are fundamental to the formation of structural traps and can significantly influence reservoir quality by creating fracture networks or permeability barriers.",False,B
wave base,fiat surface,"Wave base is an immaterial, two-dimensional boundary whose location within a body of water is determined by the physical process of wave action.","Wave base is the water depth below which the orbital motion of surface waves ceases to interact with and move sediment on the seafloor or lakebed. A distinction is made between the shallower fair-weather wave base, affected by daily wave action, and the deeper storm wave base, which is only reached by high-energy storm-generated waves.",False,B
oceanic crust,Geological Object,"Oceanic crust is a distinct, large-scale, rigid geological body with its own identity criteria, formed by geological processes like seafloor spreading.","Oceanic crust is the layer of the Earth's lithosphere that underlies the ocean basins and is primarily composed of mafic rocks like basalt and gabbro. It is significantly thinner and denser than continental crust, with a typical thickness of 5 to 10 kilometers. This crust is continuously formed at mid-ocean ridges through seafloor spreading and is recycled back into the mantle at subduction zones.",False,B
gondwana,Geological Object,"Gondwana was a supercontinent, which is a large-scale, unified geological body with a distinct identity and existence in geological time.","Gondwana is a large supercontinent that existed from the Neoproterozoic until the Jurassic. The rifting and subsequent breakup of West Gondwana, specifically the separation of the South American and African plates during the Early Cretaceous, created the extensional tectonic setting and accommodation space for the deposition of the lacustrine carbonate successions of the Brazilian Pre-Salt.",False,B
pre-salt section,Depositional System,"The term refers to a large-scale stratigraphic succession composed of multiple, linked depositional units like reservoirs and source rocks.",The pre-salt section is a Neocomian to Barremian/Early Aptian stratigraphic succession that was deposited in a rift basin setting prior to the widespread deposition of the Aptian evaporite (salt) layer in the South Atlantic marginal basins. This section encompasses the syn-rift and sag phases of basin evolution and hosts the prolific lacustrine carbonate reservoirs and source rocks that constitute the primary petroleum system of Brazil's offshore basins.,False,B
oil,Earth Fluid,"The definition explicitly describes oil as a naturally occurring liquid petroleum, which is a type of fluid found within the Earth.","Oil is a naturally occurring liquid petroleum that consists of a complex mixture of hydrocarbons generated from the thermal maturation of organic matter within a source rock. After generation, it migrates and accumulates in a reservoir rock, forming a petroleum deposit. The oils found in the Brazilian Pre-Salt are characteristically light crudes with low sulfur content, sourced from organic-rich lacustrine shales.",False,B
tectono-stratigraphic evolution,Geological Process,The term describes the geological history and interplay of tectonic and depositional processes that modify geological objects over time.,"Tectono-stratigraphic evolution is the geological history that describes the interplay between tectonic processes and the resulting deposition, geometry, and preservation of sedimentary sequences through time. This framework is used to reconstruct how events like continental rifting, thermal subsidence, and salt tectonics have controlled the development of depositional systems and the architecture of stratigraphic units within a basin. Understanding this evolution is fundamental for predicting the distribution of source rocks, reservoirs, and seals in exploration.",False,B
depositional model,generically dependent continuant,"The term is defined as a conceptual framework or model, which is an abstract pattern or content that can have multiple copies.","A depositional model is a conceptual framework that describes and predicts the spatial and temporal distribution of sedimentary facies within a specific depositional environment. It integrates observations of sedimentary structures, lithology, and fossil content to explain the processes and geometry of sediment accumulation. In petroleum geology, these models are critical for predicting the location, geometry, and quality of potential reservoir, source, and seal rocks.",False,B
erosional truncation,Geological Structure,"The term describes a specific geometric arrangement and termination of strata, which is a configuration of geological parts.","Erosional truncation is a termination of strata that results from the removal of the upper part of a stratigraphic unit by erosion, causing underlying, often tilted, layers to be cut off by an overlying unconformity surface. In seismic reflection data, it is identified by the angular termination of underlying reflectors against a younger, continuous reflector representing the unconformity. This geometric relationship is a primary indicator of an unconformity and often forms the upper boundary of structural or stratigraphic traps.",False,B
post-depositional faulting,Geological Process,"The NLD explicitly defines this as a structural deformation process that fractures and displaces rock strata, which is the definition of a Geological Process.","Post-depositional faulting is a structural deformation process that involves the fracturing and displacement of rock strata along a fault plane after the initial deposition of the sediments. This process can occur at any time during burial history, from early compaction to later tectonic events, and significantly impacts reservoir continuity, trap integrity, and fluid migration pathways.",False,B
basin,site,"A basin is a large-scale depression in the Earth's crust that serves as a container for sediment accumulation, fitting the BFO definition of a site.","A basin is a large-scale structural and topographic depression in the Earth's crust that serves as a depocenter for the accumulation of sediments over geological time. These features are formed by tectonic processes such as rifting or subsidence, creating the accommodation space necessary for the deposition of thick sedimentary sequences. Basins are the fundamental geological setting for the development of petroleum systems, containing the source, reservoir, and seal rocks.",False,B
facies variation,Facies Association,"The term describes lateral and vertical changes in facies characteristics, which implies a collection of different but related facies, fitting the definition of a Facies Association.","Facies variation is a geological phenomenon that describes the lateral and vertical changes in the lithological, biological, and physical characteristics of a sedimentary rock unit. These changes, which reflect shifts in the depositional environment, directly control the spatial distribution and heterogeneity of reservoir properties, making their prediction critical for hydrocarbon exploration and production.",False,B
carbonate mound,Mound Unit,"The NLD describes a positive topographic sedimentary body with a mound shape composed of carbonate material, which is a specific instance of a Mound Unit.","A carbonate mound is a positive topographic sedimentary body that is composed primarily of carbonate material and lacks the rigid organic framework characteristic of a true reef. Its accumulation is typically driven by in-situ microbial growth or the baffling and trapping of carbonate mud and grains by organisms, forming features such as microbialites or bioclastic buildups. In lacustrine settings like the Brazilian Pre-Salt, these mounds constitute major reservoir facies with complex porosity systems.",False,B
lacustrine setting,site,"A lacustrine setting is a depositional environment within a lake basin, which acts as a location for processes and fits the BFO definition of a site.","A lacustrine setting is a continental depositional environment that is characterized by the accumulation of sediments within a lake basin. These settings can range from freshwater to highly saline and alkaline systems, with sedimentation patterns controlled by climate, tectonics, and water chemistry. In the context of the Brazilian Pre-Salt, this environment corresponds to the extensive, tectonically-controlled sag basin where unique saline and alkaline waters promoted the widespread deposition of microbial and bioclastic carbonates.",False,B
hanging wall,Geological Object,"The term refers to a specific, identifiable block of rock, which aligns with the definition of a Geological Object as a rigid entity with its own identity.","A hanging wall is the block of rock that is positioned above an inclined fault plane. It is distinguished from the footwall, which is the block situated below the fault. In extensional tectonic regimes, such as those that formed the Pre-Salt basins, the hanging wall moves downward relative to the footwall along a normal fault, creating accommodation space and forming potential structural traps for hydrocarbons.",False,B
macabu formation,Geological Object,"The term refers to a named geological formation, which is a large-scale, identifiable body of rock, fitting the definition of a Geological Object.","Macabu Formation is a geological formation that is composed predominantly of Aptian-age volcanic and volcaniclastic rocks and constitutes the economic basement in much of the Campos Basin, Brazil. Deposited during the early rift phase of the South Atlantic opening, it underlies the lacustrine sedimentary rocks of the Lagoa Feia Group.",False,B
magmatism,Geological Process,"The definition explicitly describes magmatism as a geological process involving the generation, movement, and solidification of magma, which directly aligns with the Geological Process category.","Magmatism is a complex geological process that encompasses the generation, migration, emplacement, and solidification of molten rock (magma). In extensional settings such as the South Atlantic rift, this process results in the formation of volcanic and sub-volcanic igneous bodies that are interlayered with or intrude into the sedimentary succession. These igneous rocks can significantly impact petroleum systems by influencing the thermal maturation of source rocks, acting as seals or flow barriers, and locally forming fractured reservoirs.",False,B
phanerozoic,Geological Time Interval,"The term refers to a specific eon in the geologic time scale, which is a primary example of a Geological Time Interval.","Phanerozoic is a geologic eon that spans from approximately 538.8 million years ago to the present, characterized by the proliferation of abundant and diverse animal and plant life. It is subdivided into the Paleozoic, Mesozoic, and Cenozoic eras, and its name, meaning 'visible life', refers to the appearance of organisms with hard parts preserved in the fossil record.",False,B
magmatic event,Geological Process,"The term describes a geological episode involving the generation and movement of magma, which is a type of Geological Process that modifies the Earth's crust.","A magmatic event is a geological episode that involves the generation, movement, emplacement, and solidification of magma or lava. In the context of the South Atlantic rift, these events are associated with the emplacement of volcanic and sub-volcanic rocks during continental break-up, which can significantly influence the petroleum system by affecting the thermal regime and stratigraphy.",False,B
precambrian,Geological Time Interval,"The term is explicitly defined as a supereon, which is a vast interval of geologic time.","Precambrian is a supereon of geologic time that precedes the Phanerozoic Eon and encompasses the Hadean, Archean, and Proterozoic eons. This vast interval, spanning from Earth's formation to the start of the Cambrian Period approximately 538.8 million years ago, represents the time before the proliferation of complex, multicellular life. In the context of Brazilian geology, Precambrian rocks form the crystalline basement upon which younger sedimentary basins, including those hosting the Pre-Salt sequence, were deposited.",False,B
base salt,Sedimentary Rock,"The term refers to a stratigraphic unit primarily defined by its composition of halite, which is a chemical sedimentary rock.","Base salt is a stratigraphic salt unit that constitutes the lowermost part of a salt succession, directly overlying the pre-salt sequence. In the context of the Brazilian Pre-Salt, this Aptian-age unit is typically composed of halite and acts as the primary regional seal for the underlying lacustrine carbonate reservoirs, with its top surface often marking the onset of significant salt tectonics.",False,B
crystal shrub,Geological Structure,"The term describes a distinctive fabric, which is a specific internal arrangement or configuration of crystals within a rock.","A crystal shrub is a distinctive diagenetic crystal fabric that is characterized by a dendritic, bush-like arrangement of calcite crystals. Commonly found in the lacustrine carbonate reservoirs of the Brazilian Pre-Salt, these structures are interpreted to have formed through microbially-influenced precipitation in alkaline lake settings. The complex branching morphology of crystal shrubs contributes significantly to the development of high-quality reservoir porosity.",False,B
rift basin,Sedimentary Geological Object,"A rift basin is a large-scale sedimentary basin, which is a type of geological object defined by its structure and sedimentary fill.","A rift basin is a sedimentary basin that is formed by the extensional tectonics of continental crust, resulting in subsidence bounded by normal faults. These basins are characterized by a syn-rift phase with rapid subsidence and deposition of lacustrine sediments, followed by a post-rift or sag phase of thermal subsidence, a sequence critical to the formation of petroleum systems like the Brazilian Pre-Salt.",False,B
marine system,Depositional System,"The term describes a geological system comprising linked depositional environments and their products, which directly aligns with the definition of a Depositional System.","A marine system is a geological system that comprises the depositional environments, sedimentary processes, and biological activity occurring within oceans, seas, or other bodies of saline water. Such systems are critical for the formation of many conventional petroleum systems, depositing organic-rich source rocks in anoxic basins and forming extensive carbonate and clastic reservoirs. This is distinct from the giant lacustrine systems, characterized by saline-to-hypersaline lakes, where the Brazilian pre-salt reservoirs were deposited.",False,B
antecedent topography,Geological Boundary,The term describes a pre-existing land surface that acts as a physical discontinuity or boundary controlling subsequent sediment deposition.,"Antecedent topography is a pre-existing land surface that controls the spatial distribution, thickness, and facies of subsequently deposited sedimentary successions. In the context of the Brazilian Pre-Salt, it specifically refers to the rift-related horst and graben structures formed prior to the deposition of the Aptian sag-phase carbonates. This inherited relief was a primary control on the location of carbonate factories and the development of reservoir facies.",False,B
pre-salt play,generically dependent continuant,"The term describes a conceptual model or pattern (a ""play concept"") that groups geological elements and processes, which can be instantiated in multiple locations.","A pre-salt play is a petroleum play that targets hydrocarbon accumulations in reservoirs situated stratigraphically beneath a thick, extensive evaporite sequence. This play concept is typified by the Brazilian Pre-Salt, where lacustrine source rocks charge microbial and bioclastic carbonate reservoirs within rift-related structural highs, all effectively sealed by the overlying Aptian salt.",False,B
silica nodule,Geological Object,"The term describes a discrete, unified mass (a nodule) formed by a geological process (diagenesis), which aligns with the definition of a Geological Object.","A silica nodule is a diagenetic feature that is composed primarily of microcrystalline or cryptocrystalline quartz and forms as a discrete, often irregular to spheroidal mass within a host sedimentary rock. These nodules, commonly known as chert or flint, typically form through the replacement of the host rock, such as limestone or dolostone, or by direct precipitation of silica from pore fluids. Their presence can significantly impact reservoir quality by creating zones of low porosity and permeability, although fracturing of brittle nodules can sometimes enhance secondary porosity.",False,B
depositional setting,site,"The term describes a geological environment defined by a set of conditions in a specific location where deposition occurs, which corresponds to the BFO definition of a site.","A depositional setting is a geological environment that is characterized by the specific physical, chemical, and biological conditions under which a particular assemblage of sediments accumulates. These conditions, including water depth, energy, sediment supply, and climate, determine the resulting sedimentary facies and their geometry. In the context of the Brazilian Pre-Salt, key depositional settings include the various sub-environments within a large-scale lacustrine carbonate system.",False,B
cyclothem,Depositional Unit,"The term describes a recognizable stratigraphic unit composed of a succession of sedimentary beds deposited during a single cycle, fitting the definition of a Depositional Unit.","A cyclothem is a stratigraphic unit that comprises a succession of beds deposited during a single, repeated sedimentary cycle. These cycles are typically driven by allocyclic mechanisms such as glacio-eustatic sea-level changes or, in lacustrine basins like the Pre-Salt, by orbitally-forced climate changes affecting lake level and water chemistry, resulting in a predictable vertical succession of facies.",False,B
geological record,generically dependent continuant,"The geological record is an abstract chronicle or pattern of information derived from physical geological entities, fitting the definition of a shareable content pattern.","The geological record is the chronicle of Earth's history that is preserved in the sequence of rock strata, their contained fossils, and their structural relationships. Although inherently incomplete due to processes like erosion and non-deposition, it provides the fundamental evidence for reconstructing past environments, tectonic events, and the evolution of life, which is essential for resource exploration.",False,B
evaporitic lake,site,"An evaporitic lake is a depositional environment, which is a three-dimensional location or container for geological materials and processes, fitting the definition of a site.","An evaporitic lake is a lacustrine depositional environment that is characterized by net evaporation rates exceeding water inflow, leading to the concentration of dissolved solids and the chemical precipitation of evaporite minerals. These environments, common in arid rift settings, are responsible for depositing thick sequences of halite and anhydrite that form the regional seal for major petroleum systems, such as the Aptian salt overlying the Brazilian Pre-Salt reservoirs.",False,B
microbial macrostructure,Sedimentary Structure,"The term is explicitly defined as an organosedimentary structure, which aligns with the definition of a pattern of internal arrangement within or comprising depositional units.","A microbial macrostructure is an organosedimentary structure that is formed by the in-situ metabolic activities of microorganisms, such as trapping, binding, and/or precipitating sediment. These structures, which include stromatolites, thrombolites, and dendrolites, can form large-scale buildups that are a key component of the lacustrine carbonate reservoirs of the Brazilian Pre-Salt.",False,B
hyper-alkaline lake,site,"A hyper-alkaline lake is a depositional environment or system, which is a three-dimensional location that contains geological materials and processes, fitting the definition of a site.","A hyper-alkaline lake is a lacustrine system that is characterized by a persistently high pH, typically above 9.0, due to high concentrations of dissolved carbonate and bicarbonate ions. This environment is often saline and characterized by high Mg/Ca and Si/Al ratios, which favor the abiotic or microbially-mediated precipitation of non-skeletal carbonates. In the context of the Brazilian Pre-Salt, Aptian-age hyper-alkaline lacustrine systems are considered the primary depositional setting for the microbial carbonate reservoirs.",False,B
microbial microstructure,Sedimentary Facies,"The term describes a primary sedimentary fabric or texture, which constitutes the visual pattern of properties used to define facies in sedimentary rocks.","A microbial microstructure is a primary sedimentary fabric that is formed by the in-situ metabolic activities of microorganisms, such as trapping, binding, and precipitating minerals. These microstructures, which include clotted, peloidal, and dendritic textures, are the fundamental building blocks of microbialites. In the context of Brazilian Pre-Salt carbonates, the analysis of microbial microstructures is critical for defining reservoir facies and understanding the development of complex pore systems.",False,B
water depth,Dimension,"The NLD defines the term as a 'vertical distance,' which is a one-dimensional extent, matching the definition of the GeoReservoir class 'Dimension'.","Water depth is the vertical distance that extends from a water surface, such as mean sea level or a lake surface, to the underlying seafloor or lakebed. In a depositional context, such as the lacustrine systems of the Brazilian Pre-Salt, paleo-water depth is a primary control on facies distribution, carbonate factory type, and the development of reservoir versus source rock intervals.",False,B
