id,term,category,action,proposed_fate,class_fate,drop_basis,core_basis,coherent_frame,frame_axis,frame_siblings,centrality,cross_axis,placement_rationale,over_specificity_reason,needs_review,confidence,reason
176,rift stage,Geological Time Interval,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,near-synonym of sibling 'rift phase' (id=167); both denote the active extensional interval of basin opening
177,neobarremian,Geological Time Interval,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Named late-Barremian interval; geological time periods denote one interval only (step 1).
178,early aptian,Geological Time Interval,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Named subinterval of the Aptian; a geological time period should be modeled as one instance (step 1).
179,syn-rift phase,Geological Time Interval,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,tectonostratigraphic basin-evolution interval,"[""sag phase"", ""post-rift phase""]",medium,False,conventional active-rifting interval retained as part of the small tectonostratigraphic stage frame,,True,0.73,"probe1 ok; NLD specifies the active-rifting regime and associated stratigraphy, yielding a real subtype of Tectonostratigraphic Stage."
180,carbonate build-up,Mound Unit,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,first domain-specific reusable kind under Mound Unit and the genus for the retained mound subtype,,False,0.93,A carbonate build-up is a genuine mounded depositional body; parent Mound Unit is compatible and no OntoClean violation is evident.
181,carbonate mound,Mound Unit,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,retain as the specific conventional mound subtype beneath carbonate build-up for queryable architectural granularity,,True,0.82,"Defined as a nearly conical subtype of carbonate build-up; the differentia adds shape and interpretation, so it is not redundant."
182,Stratigraphic Group,Lithostratigraphic Unit,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],medium,False,formal lithostratigraphic rank needed as a reusable parent for named group-level units within the branch,,True,0.82,"Parent fits the formal group rank above formations; the differentia adds a real lithostratigraphic subtype (steps 4,6)."
183,Lithostratigraphic Group,Lithostratigraphic Unit,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,"Within this branch, a group is already lithostratigraphic; the child just restates the parent’s essential meaning (step 5)."
184,salt layer,Lithostratigraphic Unit,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,central pre-salt evaporite unit with distinct positional and sealing significance not captured by the parent class,,False,0.94,"An evaporite layer is a genuine lithostratigraphic subtype; seal, age, and basin details are ancillary, not taxonomic (steps 3,6)."
185,lagoa feia group,Lithostratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Lagoa Feia Group is a named group in the Campos Basin, so it denotes one specific lithostratigraphic unit (step 1)."
186,lower barra velha formation,Lithostratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"This is a named lower subdivision of the Barra Velha Formation, so it denotes one specific unit rather than a subclass (step 1)."
187,upper barra velha formation,Lithostratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named unit; NLD says it is the upper unit of Barra Velha Formation, so step 1 treats it as one instance."
188,guaratiba group,Lithostratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named lithostratigraphic group of the Santos Basin; it denotes one formal unit, so step 1 => instance."
189,camburi group,Lithostratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named lithostratigraphic group above the Ariri evaporites; this is one formal unit, so step 1 => instance."
190,itamambuca group,Lithostratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named stratigraphic group in the Santos Basin; it denotes one uppermost unit, so step 1 => instance."
191,frade group,Lithostratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named lithostratigraphic group; even if used locally, it denotes one formal unit, so step 1 => instance."
192,economic basement,Lithostratigraphic Unit,DROP_AS_OVER_SPECIFIC,drop,drop,STACKED_CONTEXT,,False,,[],low,True,"the label bundles basement kind, age/composition, seismic-recognition criteria, and economic pre-salt context into an interpretive interval rather than a lean core lithostratigraphic kind","its modest CQ contribution can be reconstructed from existing classes such as basement, camboriú formation, basalt, and hauterivian, so retaining a separate context-specific class adds little marginal core value",True,0.74,"its modest CQ contribution can be reconstructed from existing classes such as basement, camboriú formation, basalt, and hauterivian, so retaining a separate context-specific class adds little marginal core value"
193,igneous rock,Rock,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,"top-level igneous subbranch under Rock, reused by both retained extrusive and intrusive kinds",,False,0.95,"Standard genetic rock subtype; 'forms from cooled magma/lava' gives a real differentia under Rock (steps 4,6)."
194,volcanic rock,Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,igneous emplacement mode,"[""intrusive igneous rock""]",medium,False,retains one of the two canonical origin-mode classes within the igneous branch and provides the direct genus for basalt,,True,0.84,"Correct genus: volcanic rock is a recognized subtype of igneous rock distinguished by near-surface emplacement (steps 4,6)."
195,intrusive igneous rock,Rock,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,True,igneous emplacement mode,"[""volcanic rock""]",high,False,captures intrusive bodies as a reusable class in the rock hierarchy rather than leaving them only at individual lithology level,,False,0.92,"Valid igneous subtype; subsurface emplacement/crystallization gives a genuine differentia, not a vacuous restatement (steps 4,6)."
196,basalt,Rock,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,keeps the dominant concrete pre-salt igneous lithology that is directly used in branch relations,,False,0.95,"Basalt is a standard mafic subtype of volcanic rock; parent is correct and the definition adds real lithologic content (steps 4,6)."
197,tholeiitic basalt,Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,preserve basalt as the core lithology while treating tholeiitic as a quality facet,"Useful subtype, but its marginal contribution is a geochemical refinement already subordinate to basalt and not needed as a reusable core class.",False,0.86,"demoted to basalt + has_quality tholeiitic geochemical affinity: Useful subtype, but its marginal contribution is a geochemical refinement already subordinate to basalt and not needed as a reusable core class."
198,granite,Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific intrusive-basement lithology sits below already sufficient broader rock classes for the core,"Granite is a valid rock kind, but here it adds only generic CQ2 coverage and a generic mineral-composition relation already handled at broader levels; for a lean core, intrusive igneous rock and basement-level classes capture the needed value.",False,0.89,"Granite is a valid rock kind, but here it adds only generic CQ2 coverage and a generic mineral-composition relation already handled at broader levels; for a lean core, intrusive igneous rock and basement-level classes capture the needed value."
199,chert,Rock,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],high,True,definition preserves the sedimentary-rock base and the silica-composition axis that makes chert important in pre-salt reservoirs,,False,0.9,"defined as Sedimentary Rock + constituted_by some microcrystalline quartz: Chert contributes distinctive core value: it is well attested, uniquely carries CQ9 evidence among these candidates, and anchors key links to microcrystalline quartz, silica precipitation, and silicification that are central to silicified reservoir facies."
200,breccia,Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,coarse fragmented rock type,"[""conglomerate""]",medium,False,breccia is an atomic conventional lithology in a small standard coarse-fragmented-rock frame and is directly reused in reservoir description,,True,0.77,"A fragmented rock with angular intraclasts is a genuine rock subtype; NLD does not support a safer existing genus beyond Rock, so keep (step 6)."
201,gneiss,Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific basement/source-terrain lithology does not carry enough extra core burden beyond broader rock and basement categories,"Gneiss is a legitimate rock type, but in this corpus its role is mainly as basement or clast provenance detail, with only generic CQ2 support and no distinctive core relation pattern; the lean core loses little if it is omitted.",True,0.84,"Gneiss is a legitimate rock type, but in this corpus its role is mainly as basement or clast provenance detail, with only generic CQ2 support and no distinctive core relation pattern; the lean core loses little if it is omitted."
202,mud,Sediment,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,broad fine-grained sediment anchor under Sediment; constituent and occurrence statements can attach here without requiring narrower composition subtypes in the core,,False,0.95,"NLD states 'fine-grained sediment'; composition and fabric specify a genuine sediment subtype, not a role/quality mixin (steps 3,6)."
203,carbonate mud,Sediment,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,True,keep mud as the core class and handle carbonate character through composition statements rather than a separate core subtype,"carbonate mud does not add distinct CQ coverage or branch-structuring value beyond mud; it is a narrower compositional specialization, and its differentiating content is already captured by mud plus constituted_by carbonate minerals such as calcite and dolomite.",False,0.87,"carbonate mud does not add distinct CQ coverage or branch-structuring value beyond mud; it is a narrower compositional specialization, and its differentiating content is already captured by mud plus constituted_by carbonate minerals such as calcite and dolomite."
204,Depositional Setting,Sedimentary Environment,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,intermediate genus adds no extra core structure beyond Sedimentary Environment and currently organizes only one child,"zero corpus, CQ, and relation evidence, and no demonstrated shared-genus role in this branch; the core loses little if specific settings attach directly to Sedimentary Environment",False,0.88,"zero corpus, CQ, and relation evidence, and no demonstrated shared-genus role in this branch; the core loses little if specific settings attach directly to Sedimentary Environment"
205,low-energy environment,Sedimentary Environment,DROP_AS_MIXIN,,,,,,,[],,,,,,,"Defined by low hydrodynamic energy, a quality of a setting; adjectival mixin, not a subtype (step 3)."
206,transitional environment,Sedimentary Environment,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],medium,True,better captured as an environmental facet than as an extra class layer between Sedimentary Environment and specific settings,"its differentia are chiefly 'between-ness' and intermediate energy/chemistry, which are descriptive facets; retaining the label as a property preserves the useful distinction without keeping a low-yield class",True,0.84,"demoted to Sedimentary Environment + has_quality transitional position between adjacent environments: its differentia are chiefly 'between-ness' and intermediate energy/chemistry, which are descriptive facets; retaining the label as a property preserves the useful distinction without keeping a low-yield class"
207,lake margin,Sedimentary Environment,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,stable lacustrine boundary-site class reused in spatial and facies-distribution reasoning,,False,0.92,"A lake-margin zone is a transition between open lake and adjacent areas, so the parent is defensible."
208,slope,Sedimentary Environment,REPARENT,primitive,primitive,,RELATION_ENDPOINT,False,,[],medium,False,reusable geomorphic/site class that functions as a location endpoint for depositional elements and related processes,,True,0.82,"parent → Sedimentary Environment: The branch/context NLD treats slope as a lacustrine depositional setting or facies belt, so among existing targets it is better placed under Sedimentary Environment than under the generic upper-ontology class site. A narrower transitional-environment parent would be preferable if later available as a valid target."
209,sedimentary facies,Sedimentary Facies,KEEP,,,,,,,[],,,,,,,(dedup reverted — survivor also dropped) Exact duplicate of the parent modulo case; it adds no narrowing differentia beyond the root class (step 5).
210,depositional facies,Sedimentary Facies,REPARENT,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,broad reusable top-level depositional grouping that anchors the in-situ and reworked subbranches under Sedimentary Facies,,False,0.93,"parent → sedimentary facies: NLD explicitly defines depositional facies as 'a sedimentary facies', so the more specific existing parent is sedimentary facies rather than the category-level Sedimentary Facies node."
211,in situ facies,Sedimentary Facies,REPARENT,primitive,primitive,,SHARED_GENUS,False,,[],high,False,reusable genus for multiple in-situ carbonate facies kinds already present in the branch,,False,0.91,"parent → depositional facies: NLD defines in situ facies by how it forms in place rather than by transport and reworking, which is a depositional-facies criterion."
212,In Situ Lacustrine Carbonate Facies,Sedimentary Facies,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,Parent already covers carbonate facies formed in place in lacustrine pre-salt context; this child adds no stable narrowing (step 5).
213,shrubstone,Sedimentary Facies,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,in situ lacustrine carbonate facies subtype,"[""muddy spherulitestone"", ""spherulitic shrubstone"", ""shrubby spherulitestone""]",medium,False,"atomic conventional facies name within a small, domain-central in-situ facies frame",,False,0.87,"parent → in situ facies: NLD explicitly defines shrubstone as an in-situ lacustrine carbonate facies, so it is a subtype of in situ facies rather than a rock child of boundstone."
214,spherulitic shrubstone,Sedimentary Facies,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,best treated as a descriptive refinement of shrubstone rather than a separate core class,Its distinction is carried by modifier-like component proportions already expressible from the broader shrubstone concept; it adds little marginal CQ or branch value.,True,0.85,demoted to shrubstone + has_continuant_part spherulite: Its distinction is carried by modifier-like component proportions already expressible from the broader shrubstone concept; it adds little marginal CQ or branch value.
215,shrubby spherulitestone,Sedimentary Facies,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,descriptive component-dominance variant better captured as a property-bearing refinement of spherulitestone,The core does not need a separate class for this percentage-defined mixed facies variant when the broader facies plus component relations already preserve the distinction.,True,0.84,demoted to spherulitestone + has_continuant_part calcite shrub: The core does not need a separate class for this percentage-defined mixed facies variant when the broader facies plus component relations already preserve the distinction.
216,muddy spherulitestone,Sedimentary Facies,KEEP,drop,primitive,,COHERENT_FRAME_MEMBER,True,in-situ carbonate facies subtype,"[""shrubstone"", ""spherulitic shrubstone"", ""shrubby spherulitestone""]",low,True,quantitative mud-content refinement within the in-situ spherulitic facies frame,"This is a modifier-heavy, percentage-defined subtype of in situ facies. The core keeps the broader in-situ facies distinction and sibling facies frame without needing this narrow mud-rich variant.",True,0.93,DROP_CLASS rejected: an atomic coherent-frame member is not merely narrow extension detail
217,rework facies,Sedimentary Facies,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,major top-level subtype under depositional facies anchoring the transported/redeposited branch,,False,0.97,"NLD defines a depositional facies formed by erosion, transport, and redeposition of carbonate grains and intraclasts."
218,reworked carbonate,Sedimentary Facies,REPARENT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,True,specific reworked facies leaf retained because it carries reservoir-relevant meaning beyond the broader parent,,True,0.78,"parent → rework facies: NLD defines reworked carbonate as transported and redeposited carbonate clasts, which matches the existing rework facies class."
219,lithofacies,Sedimentary Facies,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,standard high-level facies classifier organizing lithology-based facies kinds,,False,0.96,NLD gives a genuine sedimentary-facies subkind defined by lithologic and petrographic criteria; not a vacuous restatement.
220,micrite,Sedimentary Facies,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,lithofacies kind,"[""spherulitic mudstone"", ""laminated mudstone"", ""mg-rich clay""]",medium,False,atomic conventional lithofacies member needed to populate the lithofacies frame with a broadly used facies kind,,False,0.89,NLD treats micrite here as a distinct carbonate facies defined by microcrystalline mud and depositional setting; lithofacies is a valid genus.
221,spherulitic mudstone,Sedimentary Facies,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,better handled as a mudstone compositional refinement than as a core facies leaf,parent lithofacies plus existing mudstone and spherulite already capture the main semantics; this thresholded subtype adds limited marginal value for a lean core,True,0.84,demoted to mudstone + has_continuant_part spherulite: parent lithofacies plus existing mudstone and spherulite already capture the main semantics; this thresholded subtype adds limited marginal value for a lean core
222,laminated mudstone,Sedimentary Facies,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,preserve the descriptive signal without committing a separate core facies class,its identity is primarily structure-based and reconstructible from existing mudstone and lamination classes; CQ contribution does not justify a standalone core leaf,False,0.91,demoted to mudstone + has_continuant_part lamination: its identity is primarily structure-based and reconstructible from existing mudstone and lamination classes; CQ contribution does not justify a standalone core leaf
223,mg-rich clay,Sedimentary Facies,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,distinct Mg-clay lithofacies needed to represent the evaporitic/clay-rich endmember of the branch,,True,0.83,NLD describes a distinct evaporitic lacustrine facies composed of Mg-rich clay minerals; lithofacies is an appropriate genus.
224,evaporite,Sedimentary Rock,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,"broad, reusable sedimentary-rock kind that anchors key pre-salt seal relations rather than a local facies refinement",,False,0.95,"NLD defines a chemical rock formed by brine precipitation; Sedimentary Rock is a correct rigid genus, with no step 3/4/5 issue."
225,grainstone,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],medium,False,"useful carbonate texture subtype, but too detailed for the lean core once broader carbonate classes are present",Grainstone is a Dunham-style fabric class with no CQ contribution beyond generic carbonate-rock identification; its differentiator is detailed support/matrix fabric better left to an extension layer.,True,0.77,Grainstone is a Dunham-style fabric class with no CQ contribution beyond generic carbonate-rock identification; its differentiator is detailed support/matrix fabric better left to an extension layer.
226,coquina,Sedimentary Rock,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,distinct shell-dominated reservoir-lithology kind that is not recoverable from broader carbonate or from texture-only classes,,True,0.79,"NLD defines a shell-rich bioclastic carbonate rock; this is a genuine sedimentary-rock subtype, not a role/quality mixin."
227,mudstone,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],medium,False,specialized carbonate fabric subtype rather than a necessary core sedimentary-rock anchor,Mudstone here functions as a detailed carbonate texture class with only generic CQ2 value; the core can retain broader carbonate rock classes without committing to this specific grain-threshold distinction.,True,0.8,Mudstone here functions as a detailed carbonate texture class with only generic CQ2 value; the core can retain broader carbonate rock classes without committing to this specific grain-threshold distinction.
228,packstone,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],medium,False,"descriptive carbonate texture refinement that belongs in a facies/classification extension, not the lean core","Packstone adds a specific mud-bearing grain-supported fabric distinction but no distinct CQ coverage beyond broader carbonate classes, so its marginal value is detail-level rather than core-defining.",True,0.79,"Packstone adds a specific mud-bearing grain-supported fabric distinction but no distinct CQ coverage beyond broader carbonate classes, so its marginal value is detail-level rather than core-defining."
229,lacustrine carbonate,Sedimentary Rock,REPARENT,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,retains the domain-defining lacustrine-carbonate subbranch rather than collapsing major Pre-Salt reservoir lithologies directly under generic carbonate,,False,0.96,"parent → carbonate: probe1 fails: NLD says 'a carbonate sedimentary rock', so existing genus carbonate is the tighter parent."
230,wackestone,Sedimentary Rock,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate depositional texture classification,"[""mudstone"", ""packstone"", ""grainstone"", ""boundstone"", ""floatstone"", ""rudstone""]",medium,False,keeps a canonical Dunham texture class that fills the mud-supported grain-bearing slot between mudstone and packstone,,False,0.9,parent → carbonate: probe1 fails: NLD says 'mud-supported carbonate rock facies'; relation evidence also supports constituted_by carbonate.
231,shale,Sedimentary Rock,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,preserves the major fine-grained siliciclastic/seal subbranch and avoids losing shale-centered petrophysical interpretation to generic Sedimentary Rock,,False,0.97,probe1 passes: shale is a genuine sedimentary rock subtype; no stronger existing parent is evidenced.
232,rudstone,Sedimentary Rock,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate depositional texture classification,"[""floatstone"", ""grainstone"", ""packstone"", ""wackestone"", ""mudstone"", ""boundstone""]",medium,False,keeps the canonical coarse clast-supported end of the carbonate texture frame rather than forcing these rocks into generic carbonate or ad hoc coarse facies labels,,False,0.91,parent → carbonate: probe1 fails: NLD says 'sedimentary carbonate rock'; existing class carbonate is the more specific genus.
233,laminite,Sedimentary Rock,REPARENT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,retains a widely used Pre-Salt facies whose laminated fabric is directly used to interpret diagenetic overprint and reservoir behavior,,False,0.85,"parent → lacustrine carbonate: probe1 fails: NLD says 'fine-laminated lacustrine carbonate rock', entailing the existing parent lacustrine carbonate."
234,microbialite,Sedimentary Rock,REPARENT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,stable reusable microbial carbonate rock/deposit kind that captures a major Pre-Salt reservoir body type,,False,0.92,"parent → carbonate rock: probe1: NLD and constituted_by evidence make microbialite a carbonate rock, so use the more specific existing genus."
235,travertine,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific hydrothermal spring-carbonate subtype under carbonate rock with no child structure or relation-endpoint role in the current core,"Although attested, travertine is a specialized origin/environment subtype; carbonate rock plus broader hydrothermal and depositional terms preserve the core material coverage, so a lean core loses little without a dedicated class.",True,0.75,"Although attested, travertine is a specialized origin/environment subtype; carbonate rock plus broader hydrothermal and depositional terms preserve the core material coverage, so a lean core loses little without a dedicated class."
236,intraclastic grainstone,Sedimentary Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],medium,True,best represented as a grainstone refinement by constituent type rather than a standalone core lithology,"It is a standard but narrow cross-product of texture and clast composition; grainstone already carries the core lithologic identity, and the intraclast facet can be represented separately.",False,0.88,"demoted to grainstone + has_continuant_part intraclast: It is a standard but narrow cross-product of texture and clast composition; grainstone already carries the core lithologic identity, and the intraclast facet can be represented separately."
237,organic-rich shale,Sedimentary Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],medium,True,quality-based shale refinement; core can capture it through shale plus an organic-richness facet and source-rock role elsewhere,"The term is useful and attested, but its distinction is a compositional or quality threshold on shale; keeping shale in the core and handling organic richness as a facet is more parsimonious.",False,0.87,"demoted to shale + has_quality organic richness: The term is useful and attested, but its distinction is a compositional or quality threshold on shale; keeping shale in the core and handling organic richness as a facet is more parsimonious."
238,carbonate rock,Sedimentary Rock,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,broad carbonate material class needed to organize the carbonate reservoir-rock subbranch under Sedimentary Rock,,False,0.97,genus/differentia clean; a carbonate-mineral-dominated sedimentary rock is a genuine subkind.
239,source rock,Sedimentary Rock,KEEP_AS_BEARER,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],high,True,"source rock is a central reusable petroleum-system class defined over rocks by generative capacity, not merely by lithology",,False,0.94,"bearer kept under 'Sedimentary Rock'; has_disposition some HydrocarbonGenerationDisposition: probe2 is Disposition: source rock names a sedimentary rock bearer of hydrocarbon-generation capacity, so keep it with has_disposition (step 3)."
240,sandstone,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,siliciclastic clastic lithology by dominant grain size,"[""siltstone"", ""claystone"", ""conglomerate""]",medium,False,canonical clastic rock type in a standard grain-size lithology frame under Sedimentary Rock,,True,0.84,"NLD gives a genuine clastic rock subtype by sand-sized grains; differentia is structural, not a separate quality/role (probes 1–2)."
241,limestone,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate lithology by dominant mineral composition,"[""dolostone""]",medium,False,canonical calcitic-carbonate lithology retained alongside dolostone because parent carbonate rock is too broad for many general rock descriptions,,True,0.8,NLD gives a genuine carbonate rock subtype by predominant calcium carbonate/calcite composition; differentia is structural/material (probes 1–2).
242,conglomerate,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,siliciclastic clastic lithology by dominant grain size,"[""sandstone"", ""siltstone"", ""claystone""]",medium,False,canonical coarse clastic rock type in the same standard lithology frame,,True,0.83,"Genuine coarse clastic rock subtype defined by >2 mm rounded clasts; differentia is structural/compositional, not a role or quality (probes 1–2)."
243,boundstone,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate depositional texture/fabric class,"[""grainstone"", ""packstone"", ""mudstone"", ""wackestone"", ""rudstone"", ""floatstone""]",high,False,standard Dunham/Embry-Klovan carbonate class used directly in reservoir facies typing,,False,0.91,"Recognized depositional-textural carbonate rock subtype; 'bound during deposition' is a real structural differentia, so KEEP (probes 1–2)."
244,bioclastic grainstone,Sedimentary Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,narrow component-based refinement of an existing core lithology,Grainstone already carries the core textural distinction; adding bioclastic content is useful as a part-composition facet but adds little independent branch structure or CQ value.,True,0.84,demoted to grainstone + has_continuant_part bioclast: Grainstone already carries the core textural distinction; adding bioclastic content is useful as a part-composition facet but adds little independent branch structure or CQ value.
245,carbonate,Sedimentary Rock,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,near-synonym of sibling 'carbonate rock' (id=238); same carbonate sedimentary rock kind
246,dolostone,Sedimentary Rock,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,dominant carbonate mineral composition,"[""limestone""]",high,False,atomic conventional member of a standard carbonate-lithology frame,,False,0.92,parent → carbonate: NLD explicitly says dolostone is a carbonate sedimentary rock; carbonate is the immediate existing genus.
247,spherulitestone,Sedimentary Rock,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,principal pre-salt lacustrine carbonate lithology,"[""laminite"", ""grainstone"", ""stromatolite""]",medium,False,distinctive conventional lithology within the small pre-salt lacustrine carbonate facies frame,,True,0.82,parent → carbonate: NLD explicitly defines spherulitestone as an autochthonous lacustrine carbonate rock; current parent is too broad.
248,microbial carbonate,Sedimentary Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,better represented as an origin overlay on carbonate than as a standalone core class,The term mainly adds microbial genesis to carbonate and contributes little independent branch structure; the core can capture the distinction as an origin facet while relying on carbonate and microbialite-level classes for reusable kinds.,False,0.87,demoted to carbonate + generated_by microbial mediation: The term mainly adds microbial genesis to carbonate and contributes little independent branch structure; the core can capture the distinction as an origin facet while relying on carbonate and microbialite-level classes for reusable kinds.
249,calcilutite,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate clastic grain-size class,"[""calcarenite"", ""calcirudite""]",medium,False,atomic fine-grained member of a small conventional carbonate clastic grain-size frame already represented in the branch,,True,0.81,"Fine-grained carbonate rock with structural/compositional differentia; genuine Sedimentary Rock subtype (steps 3,6)."
250,bioclastic rudstone,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,True,"bioclast-dominant coarse rudstone is a useful descriptive subtype, but too specific for a lean core","Its contribution is mainly dominant-grain composition detail on top of existing coarse carbonate classes such as rudstone and coquina, with no distinct branch-anchor, relation-endpoint, or uniquely necessary CQ role.",False,0.88,"Its contribution is mainly dominant-grain composition detail on top of existing coarse carbonate classes such as rudstone and coquina, with no distinct branch-anchor, relation-endpoint, or uniquely necessary CQ role."
251,intraclastic rudstone,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,True,intersection of rudstone texture with intraclast dominance is informative but more detailed than the core needs,"The core already has broader coarse/reworked carbonate coverage through rudstone and calcirudite, while the key endpoints it uses (for example intraclast and source lithologies) can be modeled without retaining this extra subtype.",True,0.84,"The core already has broader coarse/reworked carbonate coverage through rudstone and calcirudite, while the key endpoints it uses (for example intraclast and source lithologies) can be modeled without retaining this extra subtype."
252,calcirudite,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate clastic grain-size class,"[""calcarenite"", ""calcilutite""]",medium,False,atomic coarse-grained member of the standard carbonate clastic grain-size taxonomy,,True,0.83,"Coarse clastic carbonate rock defined by clast size/composition; valid Sedimentary Rock subtype (steps 3,6)."
253,dolomudstone,Sedimentary Rock,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,"worth retaining as a recurrent Pre-Salt lithology, but more parsimoniously as a defined mineralogic refinement of mudstone",,True,0.72,"defined as mudstone + constituted_by some dolomite: Dolomudstone is a recurrent mud-supported dolomitic carbonate with distinct reservoir significance in the corpus, so the core benefits from retaining it; however, it is better modeled as a defined texture-plus-composition class than as a new primitive."
