Term,NLD,Context_Used
chemical precipitation,"Chemical precipitation is a depositional process that directly forms carbonate or related minerals from chemically supersaturated lake water without detrital transport. In the Brazilian Pre-Salt, it commonly took place in alkaline lacustrine settings, where changes in Mg/Ca ratio, dissolved silica, and microbial influence promoted the precipitation of hydrated Mg-silicate gels, low-Mg calcite or aragonite, and fabrics such as spherulites, shrubs, and oncolitic carbonate deposits.",True
gneiss,"Gneiss is a foliated metamorphic rock that displays coarse-grained compositional banding produced by high-grade recrystallization of pre-existing rocks. In the Brazilian Pre-Salt context, it commonly forms part of the crystalline basement and may also occur as clasts in synrift to sag conglomerates, indicating erosion of uplifted metamorphic source terrains.",True
fracture porosity,"Fracture porosity is a non-matrix porosity type that consists of void space within natural open fractures and microfractures cutting the carbonate rock. In Brazilian Pre-Salt reservoirs, it may result from primary or diagenetic fracturing, is commonly concentrated in fault-related fractured zones, and mainly contributes to reservoir connectivity and permeability rather than matrix storage.",True
florianopolis high,"Florianopolis High is a dominantly magmatic structural high that forms the southern boundary of the Santos Basin and separates it from the Pelotas Basin. In the Brazilian Pre-Salt context, it acted as a basin-scale physiographic barrier that helped isolate the Santos Basin from fully marine waters to the south, influencing its tectono-sedimentary evolution and lacustrine carbonate development.",True
rift supersequence,"Rift supersequence is a tectonostratigraphic supersequence that records the syn-rift phase of basin evolution under lithospheric extension and fault-controlled subsidence. In the Brazilian Pre-Salt, it typically comprises continental siliciclastic and volcanic deposits together with lacustrine coquinas, organic-rich shales, and locally ooid-bearing facies, such as those of the Piçarras and Itapema formations or the basal Lagoa Feia Group, deposited mainly from the Barremian to Lower Aptian in half-graben depocenters.",True
eoaptian,"Eoaptian is an informal chronostratigraphic interval that corresponds to the earliest part of the Aptian Stage in the Early Cretaceous. In the Brazilian pre-salt, it commonly denotes the time of syn-rift Itapema Formation deposition, including lacustrine coquinas and related carbonates, broadly around 126 to 123 Ma in the cited stratigraphic framework.",True
sedimentary facies,"Sedimentary facies is a mappable body of sediment or sedimentary rock that is distinguished by a characteristic combination of lithology, texture, sedimentary structures, and vertical or lateral association, reflecting a specific depositional environment or process. In the Brazilian Pre-Salt, sedimentary facies are identified by integrating core, thin-section, well-log, and seismic data to reconstruct lacustrine settings such as profundal, slope, bench interior, and bench margin, and to distinguish in-situ from reworked carbonate deposits.",True
gondwana supercontinent,"Gondwana supercontinent is a supercontinent that amalgamated South America, Africa, and other southern continental blocks before its breakup initiated the South Atlantic rifting that shaped the Brazilian pre-salt basins. In the Santos Basin context, its Early Cretaceous rupture involved lithospheric stretching and locally hotspot-related thermal anomalies, producing crustal thinning and the rift to post-rift evolution that hosts the pre-salt section.",True
sapinhoá field,"Sapinhoá Field is an offshore pre-salt oil field that is located in the Santos Basin, Brazil, and contains Aptian carbonate reservoirs mainly within the Barra Velha Formation beneath the salt section. In the context of Brazilian pre-salt geology, it is a key reservoir area for studying facies architecture, porosity distribution, and diagenetic controls in lacustrine carbonates, including intervals near the base of the Ariri Formation.",True
calcarenite,"Calcarenite is a clastic carbonate rock that is composed predominantly of sand-sized carbonate grains or intraclasts, typically representing reworked carbonate sediment and, in hybrid varieties, containing less than 50% siliciclastic material. In the Brazilian Pre-Salt, it commonly consists of ooids and intra- or extra-clasts of limestone or dolostone, with subordinate silica or chert and minor silicate grains, and may occur as laminated resedimented beds with interparticle and intraparticle porosity.",True
passive margin,"Passive margin is a continental-margin tectonic setting that develops after continental rifting and breakup, when oceanic crust is established and the basin enters a post-rift drift stage dominated mainly by subsidence rather than active plate-boundary deformation. In the Brazilian South Atlantic basins, this phase corresponds to the free-marine post-salt evolution, including Albian shallow-water carbonate platform deposition later overlain by more siliciclastic successions, and the Santos, Campos, and Espírito Santo basins are typical magma-poor passive margins.",True
bivalve rudstone,"Bivalve rudstone is a bioclastic carbonate rudstone that consists predominantly of coarse bivalve shell bioclasts, commonly disarticulated, fragmented, and variably reworked. In the Brazilian Pre-Salt, it commonly forms a coquina reservoir facies with massive, poorly to well sorted, chaotic to subparallel fabric, and may preserve interparticle, intraparticle, moldic, and locally vuggy porosity despite diagenetic alteration such as dissolution, neomorphism, calcite cementation, dolomitization, or silicification.",True
stylolite,"Stylolite is a pressure-solution seam that forms by localized dissolution during compaction and concentrates insoluble or less soluble minerals along an irregular surface in carbonate rocks. In Brazilian pre-salt reservoirs, stylolites commonly occur in bioclastic rudstones, hybrid facies, cherts, and chert-dolostone contacts, where they are enriched in illite and other residual minerals, may truncate earlier cements, and can be associated with symmetric porosity enhancement.",True
vugular porosity,"Vugular porosity is a secondary pore type that consists of dissolution-generated cavities larger than the particles composing the carbonate rock. In Brazilian Pre-Salt lacustrine carbonates, it is widespread across several facies, but where vugs dominate the pore system permeability is commonly low because pore connectivity is poor, whereas association with interparticle porosity can improve reservoir quality.",True
microbial laminite,"Microbial laminite is a laminated microbialite that is formed by the growth and lithification of benthic microbial mats, producing fine carbonate-rich laminae. In the Brazilian Pre-Salt, it commonly occurs as finely crinkly to wavy laminated carbonate mudstone interpreted as lithified microbial mats in shallow lacustrine to supralittoral–eulittoral settings, and it may be overprinted by calcite, dolomite, or silica replacement during diagenesis.",True
regional seal,"Regional seal is a basin-scale sealing unit that laterally extends over reservoir rocks and prevents the upward migration and leakage of hydrocarbons. In the Brazilian Pre-Salt, the regional seal is formed mainly by the evaporites of the Ariri Formation, especially halite and anhydrite, which overlie the Barra Velha and related reservoirs and provide an effective seal despite large thickness variations.",True
sag stage,"Sag stage is a tectono-stratigraphic stage that records the broad subsidence and relative tectonic quiescence between active rifting and passive-margin drift, commonly with localized fault reactivation and a transition from continental/lacustrine to shallow-marine conditions. In the Brazilian Pre-Salt, it begins above the pre-Alagoas unconformity and includes the Barra Velha lacustrine carbonates and shales, followed by the thick evaporites of the Ariri Formation.",True
calcite shrub,"Calcite shrub is a calcitic growth fabric that consists of branching to fan-shaped aggregates of radiating fibrous to coarse bladed fascicular-optic calcite crystals, giving a shrub-like external morphology. In the Brazilian Pre-Salt, it commonly occurs as in-situ horizontal layers or low domal crusts in lacustrine carbonates of the Barra Velha Formation and is typically associated with rapid carbonate precipitation in shallow, highly saturated waters.",True
reworked carbonate,"Reworked carbonate is a lacustrine carbonate lithofacies that is composed mainly of transported and redeposited clasts of calcitic spherulites and/or calcitic shrubs, typically occurring as grainstone- to rudstone-like calciarenites and calcirudites. In the Brazilian Pre-Salt Barra Velha Formation, it commonly contains grains from fine sand to pebble size, shows moderate sorting and massive to cross-stratified textures, and may include peloids, ostracod bioclasts, Mg-rich clays, and minor detrital siliciclastics. Where siliciclastic content exceeds about 10%, it is distinguished as reworked carbonate with siliciclastic content (RC-si), and the facies commonly forms relatively high-quality reservoir intervals due to open-framework and locally enhanced secondary porosity.",True
early diagenesis,"Early diagenesis is a diagenetic stage that modifies sediments during or immediately after deposition at the water-sediment interface or under very shallow burial, before deeper burial alteration begins. In Brazilian Pre-Salt lacustrine carbonates, it commonly involves dissolution of primary Mg-clays and some carbonate fabrics, recrystallization of shrubs and spherulites, and precipitation of early calcite, dolomite, and silica cements. These processes may generate vuggy and moldic porosity, but they also commonly coat or fill pores and reduce pore size and connectivity.",True
continental margin,"Continental margin is a tectonostratigraphic transition zone that links continental crust to the adjacent oceanic basin and organizes the structural and stratigraphic framework of offshore basins. In the Brazilian Pre-Salt, the architecture and relative position of the continental margin strongly influence rift-to-sag evolution, fault displacement, salt thickness and mobilization, and consequently reservoir distribution, compartmentalization, and fluid migration.",True
marine incursion,"Marine incursion is a hydrologic event that introduces seawater into a previously isolated or restricted basin. In the Brazilian Pre-Salt, it refers mainly to late Aptian marine ingress into the post-rift lacustrine system, which increased salinity, promoted evaporite deposition such as the Ariri Formation, and marked the transition toward shallow marine conditions.",True
downlap,"Downlap is a seismic reflector termination that occurs where inclined or progradational strata terminate downdip against a lower-lying surface. In the Brazilian Pre-Salt, it is used in seismic stratigraphic interpretation to identify progradational stacking patterns, define stratigraphic boundaries, and infer changes in accommodation and depositional architecture; in tectonically rotated settings, original downlap may locally appear as apparent onlap.",True
pore throat,"Pore throat is a constricted opening in a porous rock that connects adjacent pore bodies and strongly controls capillary entry, fluid flow, and permeability. In Brazilian Pre-Salt lacustrine carbonates, pore throat size is commonly quantified by mercury injection capillary pressure (MICP) and classified as micro when less than 0.5 µm, meso between 0.5 and 5 µm, and macro when greater than 5 µm. Larger pore throats generally indicate better reservoir quality because they allow easier fluid movement through the pore network.",True
mud,"Mud is a fine-grained sediment that occurs in Brazilian Pre-Salt carbonates as matrix between grains and as laminated or massive beds, and is composed of variable proportions of clay minerals, calcite, dolomite, and silica. In the Barra Velha Formation, it commonly forms millimetric to centimetric plane-parallel to slightly wavy laminae, with microcrystalline calcite in lighter layers and dolomite, organic matter, Mg-clays, and locally silica in darker layers. Clay-rich and carbonate-mud components may also be partially replaced by microcrystalline dolomite and silica.",True
hydrocarbon,"Hydrocarbon is an organic chemical compound that consists exclusively of carbon and hydrogen atoms. In the Brazilian Pre-Salt context, hydrocarbons occur mainly as crude oil and natural gas generated from source rocks and accumulated within porous, vuggy, and fractured lacustrine carbonate reservoirs beneath the salt layer.",False
lacustrine carbonate platform,"Lacustrine carbonate platform is a carbonate depositional system that develops in lake settings on broad structural highs and accumulates shallow-water carbonate sediments during sag-stage basin evolution. In the Brazilian Pre-Salt, it commonly forms large seismically mappable bodies composed of microbialites and bioclastic limestones, including shrubby boundstones and spherulite-intraclast grainstones that constitute key reservoir facies, while muddier wackestones and packstones tend to increase toward platform margins.",True
siltstone,"Siltstone is a siliciclastic sedimentary rock that is composed predominantly of silt-sized particles, with a higher proportion of silt and less clay than mudstone. In the Brazilian pre-salt Barra Velha succession, it commonly occurs as massive or incipiently plane-parallel laminated microfacies, ranging from coarse to fine silt and locally containing trace very fine to fine sand. Its main constituents are typically K-feldspar, monocrystalline quartz, white mica, and clay minerals.",True
mechanical subsidence,"Mechanical subsidence is a tectonic subsidence process that is driven by crustal and lithospheric stretching during the rift phase, creating accommodation space and commonly producing normal faulting, half-grabens, and basement-fault reactivation. In the Brazilian Pre-Salt, it defines the syn-rift stage that preceded regional thermal subsidence of the sag phase and strongly controlled lacustrine paleogeography and facies distribution.",True
gastropod,"Gastropod is a mollusk that typically bears a single, commonly coiled shell and whose skeletal remains occur as bioclasts in Pre-Salt lacustrine carbonate rocks. In the Brazilian Pre-Salt, gastropod shells are usually minor, little-abraded components of coquinas associated with bivalves and oncoids. Their occurrence can reflect variations in salinity and hydrodynamic energy and may preserve intraparticle porosity.",True
intergranular porosity,"Intergranular porosity is a porosity type that comprises void space between adjacent grains, shell fragments, or other sedimentary particles in a rock. In Brazilian Pre-Salt carbonate reservoirs, especially grainstones and packstones, it commonly forms the dominant reservoir pore system and can support good storage and permeability where preserved or enlarged, although it may be reduced by intergranular micrite or by calcite and quartz cementation.",True
mg-silicate clay,"Mg-silicate clay is a magnesium-rich layer silicate clay mineral that forms syngenetically in the alkaline, saline lacustrine carbonates of the Brazilian Pre-Salt, mainly as stevensite and kerolite. In these reservoirs it commonly constitutes the matrix of Mg-claystone and spherulitic facies, and its later dissolution or replacement by carbonate or silica is a major control on porosity evolution and silicification.",True
depositional system,"Depositional system is a sedimentary system that comprises the genetically related environments, facies, and processes through which sediment is produced, transported, and accumulated in a basin. In the Brazilian Pre-Salt, it commonly denotes the lacustrine carbonate framework whose facies distribution, depositional cycles, and sedimentation rates are controlled by lake palaeotopography, tectonism, climate, water chemistry, and fault-related transfer zones, thereby governing reservoir architecture and heterogeneity.",True
marine environment,"Marine environment is a depositional setting that is characterized by the persistent influence of seawater and marine circulation, from shallow coastal to open-marine conditions. In the Brazilian Pre-Salt context, it denotes the stage when restricted lacustrine systems gave way to marine ingress and ultimately to open South Atlantic conditions, preceding or accompanying evaporite deposition above the main carbonate reservoirs.",True
evaporite deposit,"Evaporite deposit is a sedimentary deposit that consists of minerals precipitated and accumulated from highly evaporative saline waters, typically including halite and anhydrite in restricted lacustrine to shallow marine settings. In the Brazilian Pre-Salt, Aptian evaporite deposits such as those of the Ariri and Retiro formations may also contain sylvite and carnallite, and they form the regional stratigraphic seal over the underlying carbonate reservoirs.",True
carbonate facies,"Carbonate facies is a sedimentary facies that is defined by a distinctive set of carbonate textures, fabrics, components, and structures formed under particular depositional conditions. In the Brazilian Pre-Salt, it is used to distinguish facies such as laminites, grainstones, stromatolites or shrubs, and spherulitites, as well as autochthonous or in-situ versus allochthonous or reworked carbonates, because their vertical and lateral distribution governs reservoir architecture and quality.",True
guarujá formation,"Guarujá Formation is a post-salt Albian stratigraphic formation that comprises the basal marine carbonate interval of the early drift megasequence in the Santos Basin, overlying the evaporites. In the Brazilian Pre-Salt it is typically a thin carbonate package, commonly 10 to 30 m thick, dominated by fine-grained mudstones and calcilutites deposited in distal restricted marine settings, with local shallow-platform oolitic and bioclastic facies.",True
lacustrine coquina,"Lacustrine coquina is a bioclastic carbonate rock that consists predominantly of accumulated and commonly fragmented mollusk shells deposited in a lacustrine environment. In the Brazilian Pre-Salt, it commonly formed in the Itapema Formation on structural highs under shallow, high-energy rift-lake conditions, occurring as coquina banks and related bar, beach, washover, and tempestite deposits interbedded with shales.",True
são paulo plateau,"São Paulo Plateau is a regional structural high in the eastern Santos Basin that comprises a set of basement highs, including the Outer High, defined by the base-evaporite unconformity and expressed as elevated Aptian palaeotopography. In the Brazilian pre-salt, it is the main exploration province where these distal, clastic-starved highs provided the topographic template for accumulation of Barra Velha lacustrine carbonates. It is also interpreted to be linked to failed northward propagation of seafloor spreading near the Florianópolis Fracture Zone.",True
itanhaém formation,"Itanhaém Formation is a lithostratigraphic unit in the Santos Basin that records deeper-water sedimentation after the drowning of the shallow-marine carbonate platform of the Guarujá Formation during the early drift stage. In the regional stratigraphic framework, it marks the transition from platform carbonate deposition to more distal marine conditions above the pre-salt succession.",True
high-energy environment,"High-energy environment is a depositional setting that is subject to strong hydrodynamic forces, such as waves, currents, or sheetfloods, which promote sediment transport, reworking, winnowing, and erosion. In the Brazilian Pre-Salt lacustrine carbonates, it commonly refers to shallow platform or marginal lake areas above or near wave base, where reworked carbonates, intraclasts, fragmented bioclasts, and poor preservation of delicate primary phases are typical.",True
campanian,"Campanian is a Late Cretaceous geologic age that spans approximately 83 to 72 million years ago and, in the Brazilian Pre-Salt context, represents the initial interval of the Campanian–Maastrichtian tectono-diagenetic event identified from replacive and vein-filling carbonate cements. Although the main Pre-Salt reservoirs are Aptian in age, the Campanian is important because it marks a later phase of burial-related diagenesis that affected mineral assemblages, precipitation temperatures, and burial conditions in the Northern Campos Basin.",True
lake-level fluctuation,"Lake-level fluctuation is a relative water-level variation that changes lake elevation through time, thereby modifying bathymetry and accommodation in lacustrine carbonate systems. In the Brazilian Pre-Salt, it is a key control on water depth, energy conditions, shoreline position, and the lateral and vertical shifting of facies and hiatuses that form depositional cycles. Repeated rises and falls may also expose carbonate deposits to penecontemporaneous karstification, locally creating or enhancing reservoir porosity.",True
mesodiagenesis,"Mesodiagenesis is a burial diagenetic stage that modifies pre-salt carbonate rocks after eodiagenesis through continued calcite dissolution, recrystallization of the primary carbonate fabric, coarse pore-filling cementation, late fracturing, and solid bitumen emplacement. In the Brazilian Pre-Salt, it commonly generates secondary intragranular and vuggy porosity by dissolution and fracturing, while macrocrystalline dolomite, quartz, and subordinate mineral cements may partially to completely occlude that porosity.",True
talc,"Talc is a magnesium-rich phyllosilicate mineral that precipitates in the Brazilian pre-salt under highly alkaline lacustrine conditions, commonly as hydrated talc formed from Mg-rich silica gel at about pH 9 to 10. In the Barra Velha Formation it is characterized by low crystallinity and a defective turbostratic structure, and its late diagenetic transformation releases silica and magnesium that favor the precipitation of silica and dolomite.",True
magmatism,"Magmatism is a geological process that involves the generation, ascent, emplacement, and possible eruption of magma within and above the crust. In the Brazilian Pre-Salt, it includes intrusive and extrusive events from rift to drift stages that are commonly linked to tectonic controls and may accompany hydrothermal alteration, although their thermal influence on carbonate reservoir diagenesis can be locally limited and is not always the main controlling factor.",True
oil-water contact,"Oil-water contact is a reservoir fluid boundary that marks the depth at which the oil-saturated interval passes into the underlying water-saturated interval. In Brazilian pre-salt carbonate reservoirs, it is commonly estimated from a significant resistivity-log contrast, calibrated with porosity logs and pressure data, and spatial irregularities in its depth may indicate perched water effects or reservoir compartmentalization.",True
rifted margin,"Rifted margin is a continental margin that develops through lithospheric extension, faulting, and crustal thinning, commonly culminating in plate rupture and the onset of oceanic spreading. In the Brazilian Pre-Salt basins, it is expressed by fault-compartmentalized crustal blocks and syn-rift stratigraphic sequences bounded by key unconformities from rift onset to breakup, followed by increased thermal subsidence.",True
upper aptian,"Upper Aptian is a chronostratigraphic subdivision that represents the later part of the Aptian Stage of the Lower Cretaceous, corresponding in the Brazilian pre-salt to the upper pre-salt interval deposited immediately before widespread salt accumulation. In the cited Campos Basin framework, it is the interval bounded below by the mid-Aptian unconformity and above by the late Aptian base-salt surface. In pre-salt reservoir studies, it commonly encompasses sag-phase carbonate deposition, including the upper-sag succession of the Barra Velha Formation, which is associated with progradational shallowing-upward cycles and favorable porosity-permeability development.",True
aquifer,"Aquifer is a subsurface hydrogeologic unit that stores and transmits groundwater through permeable or fractured rocks, including confined systems beneath the pre-salt succession and regional flow paths in fractured crystalline basement. In the Brazilian Pre-Salt, aquifers can recharge lacustrine systems and provide regional pressure support to reservoirs during production, but they may also drive water influx, water coning, and early water breakthrough.",True
rhombohedral dolomite,"Rhombohedral dolomite is a diagenetic dolomite crystal fabric that consists of rhomb-shaped dolomite crystals occurring within carbonate rocks, commonly in interstitial spaces among spherulites, calcite shrubs, and fascicular calcite crusts. In the Brazilian Pre-Salt Barra Velha Formation, it is the most common dolomite type and is most abundant in spherulite-rich facies, with many occurrences formed before mechanical compaction and some compositions approaching stoichiometric burial dolomite.",True
carbonate precipitation,"Carbonate precipitation is a geochemical process that forms carbonate minerals from solution when water becomes supersaturated under specific physicochemical conditions. In the continental carbonate systems relevant to the Brazilian Pre-Salt, it occurs only under particular lake or spring chemistries and is commonly favored by factors such as CO2 degassing, evaporation, and pH buffering rather than by temperature alone. Its expression is strongly controlled by the geomorphological, geochemical, and hydrologic setting, and may be locally influenced by microbial activity.",True
oncoid,"Oncoid is a coated carbonate grain that consists of a nucleus surrounded by irregular to concentric microbial laminae produced by cyanobacterial accretion, commonly while the particle is intermittently rolled in very shallow lacustrine water. In the Brazilian Pre-Salt, oncoids occur as dominant allochems in oncoidal grainstones, rudstones, and packstones/floatstones, where they are typically spherical to semi-spherical and may preserve or develop intraparticle dissolution porosity.",True
floatstone,"Floatstone is a matrix-supported carbonate rock that contains granule- to pebble-size clasts floating within a finer-grained matrix. In the Brazilian Pre-Salt, especially in the Barra Velha Formation, it commonly corresponds to matrix-supported calcirudite with angular fragments of microbialite, tufa, shrubstone, chert, and other carbonate lithologies in a dark sand-silty matrix, typically indicating reworked or debris-flow deposition.",True
mg-clay,"Mg-clay is a magnesium-rich clay mineral assemblage that forms part of the matrix of Brazilian pre-salt carbonate facies, commonly in association with calcite spherulites and dolomite. In the Santos Basin it consists mainly of Mg-smectitic clays, with rare sepiolite, and its dissolution or replacement by calcite can generate secondary porosity even though Mg-clay-rich facies are initially of low reservoir quality.",True
pre-salt play,"Pre-salt play is a hydrocarbon play that comprises Lower Cretaceous lacustrine carbonate reservoirs beneath a thick Aptian salt seal, charged by prolific lacustrine source rocks. In the Brazilian pre-salt, it typically includes coquina and microbialite reservoirs in syn-rift to sag successions, commonly draped over structural highs, with vertical faults aiding migration and strong lateral heterogeneity in reservoir quality representing a major risk.",True
atapu field,"Atapu Field is an offshore pre-salt oil field that lies in the central Santos Basin, about 200 km off the Brazilian coast in water depths of 2,000 to 2,300 m, and contains giant carbonate reservoirs beneath the salt layer. It is part of the Iara Complex together with the Berbigão and Sururu fields, has estimated oil volumes of 2.5 to 4 billion barrels of oil equivalent, and ranks among Brazil's major pre-salt producing fields.",True
guaratiba group,"Guaratiba Group is a Lower Cretaceous lithostratigraphic group of the Santos Basin that records the rift to post-rift evolution of the Brazilian pre-salt, comprising the Camboriú, Piçarras, Itapema, Barra Velha, and Ariri formations. Deposited from roughly the Hauterivian to the Aptian in continental lacustrine to evaporitic settings, it contains the main pre-salt carbonate reservoirs, especially the Itapema and Barra Velha formations.",True
neomorphism,"Neomorphism is a diagenetic process that recrystallizes original carbonate constituents, commonly aragonitic bioclasts, into new crystal forms in situ. In Brazilian Pre-Salt bioclastic grainstones and rudstones, it commonly affects bivalve and gastropod shells and competes with dissolution, with its predominance tending to preserve primary interparticle porosity and favor higher permeability.",True
depositional facies,"Depositional facies is a sedimentary facies that records the original depositional conditions of a rock through its primary composition, texture, and fabric. In the Brazilian Pre-Salt carbonates, depositional facies include in-situ shrub- and spherulite-rich deposits as well as reworked carbonate facies ranging from mudstones to intraclastic grainstones and rudstones. They are distinguished from diagenetic facies, which may derive from similar original deposits but now display different fabrics because of post-depositional alteration.",True
cabiúnas formation,"Cabiúnas Formation is a volcanic lithostratigraphic unit that forms the basal pre-salt succession of the Campos Basin and is composed mainly of tholeiitic basalts and associated volcaniclastics linked to the onset of rifting. It underlies the Lagoa Feia Group and is often treated as part of the basement in structural studies. Reported K–Ar ages for its basalts are about 134–122 Ma, although some of the younger values may reflect alteration effects.",True
itabapoana formation,"Itabapoana Formation is a lithostratigraphic unit of the Lagoa Feia Group that is composed predominantly of proximal marginal clastic sediments, including conglomerates, sandstones, siltstones, and red shales, deposited around Aptian lacustrine systems in the northern Campos Basin pre-salt succession. It commonly grades laterally into more lacustrine deposits such as those of the Gargaú Formation. In subsurface data, it may be difficult to distinguish from the Atafona Formation.",True
retiro formation,"Retiro Formation is a post-rift evaporitic stratigraphic formation that records Aptian deposition in a highly evaporative shallow-marine setting following marine incursions under arid climatic conditions. It consists predominantly of anhydrite, halite, sylvite, and carnallite, may reach about 2000 m in thickness, and forms an important regional stratigraphic seal over Brazilian Pre-Salt carbonate reservoirs and major hydrocarbon accumulations.",True
pre-salt section,"Pre-salt section is a Lower Cretaceous stratigraphic interval that comprises the sedimentary succession deposited before salt emplacement in the South Atlantic basins, lying beneath the Aptian evaporites and including syn-rift to sag-stage deposits such as lacustrine carbonates of the Barra Velha Formation. In the Brazilian Santos and Campos basins, this interval contains giant hydrocarbon accumulations and is a key target for seismic, stratigraphic, and reservoir characterization studies because of its complex carbonate heterogeneity.",True
matrix porosity,"Matrix porosity is a component of rock porosity that resides within the carbonate rock matrix itself rather than in large karst-related vugs, mega- and giga-pores, or fractures. In Brazilian Pre-Salt reservoirs, it commonly constitutes a major part of effective porosity and can be identified in acoustic image logs by lower-amplitude matrix responses, whereas low-porosity matrix shows higher amplitudes.",True
facies association,"Facies association is a sedimentological grouping of related facies that occur together in a characteristic vertical and/or lateral stacking pattern and collectively represent a specific depositional subenvironment or process regime. In the Brazilian Pre-Salt, it commonly groups several carbonate facies into interpretable units such as back-barrier, foreshore-shoreface, bioclastic bar, tempestite, or offshore deposits, helping define depositional architecture and relative lake-level changes.",True
water chemistry,"Water chemistry is the geochemical condition of a water body that is defined by parameters such as pH, alkalinity, redox state, temperature, pCO2, and dissolved ion activities, thereby controlling mineral saturation and biological development. In Brazilian Pre-Salt lacustrine carbonates, changes in lake-water chemistry driven by evaporation, climate, and magmatic or hydrothermal inputs govern the precipitation of magnesian clays, calcite, dolomite, and related microbial and faunal assemblages.",True
marl,"Marl is a fine-grained mixed sedimentary rock that contains substantial proportions of carbonate minerals and clay. In the Brazilian Pre-Salt context, it commonly refers to calcareous mud-rich lacustrine intervals interbedded with cleaner carbonate facies, typically indicating greater argillaceous input and lower reservoir quality than purer carbonates.",False
santos outer high,"Santos Outer High is an intrabasinal structural high that comprises an uplifted, fault-bounded basement block system in the central Santos Basin, forming a NE-SW-trending closure and a long-lived palaeohigh during Barremian–Aptian pre-salt deposition. Its elevated and relatively clastic-starved setting favored the development of extensive lacustrine carbonates, especially in the Barra Velha interval, and it contains the principal oil fields of the Santos pre-salt province.",True
florianópolis high,"Florianópolis High is a regional structural and physiographic high that forms the southern boundary of the Santos Basin and separates it from the Pelotas Basin, being dominantly magmatic in origin. In the Brazilian pre-salt context, it acted as a paleogeographic barrier that helped isolate the Santos Basin from fully marine waters to the south, influencing its distinct tectono-sedimentary evolution and lacustrine carbonate reservoir development.",True
evaporitic deposit,"Evaporitic deposit is a chemical sedimentary deposit that forms by precipitation and accumulation of soluble salts from highly concentrated saline waters under strong evaporation. In the Brazilian Pre-Salt, it commonly refers to the Aptian Ariri Formation evaporites—mainly halite and anhydrite, with locally potassium and magnesium salts—that overlie the Barra Velha carbonates, form a thick regional seal, and can undergo early salt movement because of internal rheological contrasts.",True
reservoir facies,"Reservoir facies is a depositional or diagenetic facies that has pore-system architecture and petrophysical properties favorable for hydrocarbon storage and flow. In the Brazilian Pre-Salt, the best reservoir facies commonly include stromatolites, grainstones, and shrub- or spherulite-rich facies, where connected primary porosity may be further enhanced by dissolution and fractures. Distinguishing reservoir facies from tighter muddy, bench-interior, or profundal facies is fundamental for predicting porosity-permeability distribution and production behavior.",True
lake margin,"Lake margin is the boundary zone of a lacustrine system that marks the transition between the open lake and adjacent shallow-water or exposed areas, and whose position migrates with lake-level changes. In the Brazilian Pre-Salt, distance to the lake margin is a key control on water depth, hydrodynamic energy, facies distribution, and reservoir heterogeneity, and its migration can be inferred from seismic onlap patterns.",True
saponite,"Saponite is a magnesium-rich smectite clay mineral that belongs to the Mg-smectite group and occurs in Aptian Brazilian Pre-Salt carbonates as part of the authigenic Mg-silicate clay assemblage. In Santos Basin reservoir facies, it is typically a minor clay associated with kerolite, stevensite, and sepiolite, commonly forming part of the clayey substrate linked to the growth of spherulites and shrubs. In XRD-based studies, it may be grouped with stevensite within Mg-smectite because distinguishing the two requires additional analytical work.",True
continental breakup,"Continental breakup is a tectonic process that culminates in the final rupture of extended continental crust during late rifting to hyperextension, separating conjugate margins and initiating a new oceanic basin. In the Brazilian Pre-Salt, this Early Cretaceous process helped establish the South Atlantic lacustrine basins and was uneven in time and space, so it is not necessarily represented by a single age-equivalent surface across the margin. On weak asymmetric margins, it may be recorded mainly in the most distal domains as an unconformity linked to final crustal rupture.",True
sequence boundary,"Sequence boundary is a stratigraphic surface that bounds adjacent depositional sequences by marking a break in sedimentation expressed as erosion, nondeposition, or truncation. In the Brazilian Pre-Salt, it commonly corresponds to internal or regional unconformities separating stratigraphic units, recognizable in seismic data by angular truncations and, in some core-scale cycles, by clay-enriched horizons.",True
syngenetic precipitation,"Syngenetic precipitation is a mineral precipitation process that takes place contemporaneously with sediment deposition, typically at or immediately below the sediment-water interface. In the Brazilian Pre-Salt, it commonly refers to abiotic lacustrine precipitation of fascicular calcite crusts and stevensite controlled by shifts in water chemistry—such as pH, Mg and Ca activities, temperature, and pCO2—and expressed as encrustation or local replacement of stevensitic deposits.",True
lula field,"Lula Field is a giant offshore pre-salt hydrocarbon field that occurs in the Santos Basin, Brazil, within Lower Cretaceous lacustrine carbonate reservoirs sealed by a thick salt interval. Discovered by the Tupi-1 well in 2006 and hosted on the Tupi High, it was the landmark multibillion-barrel discovery that proved the productivity and global significance of the Brazilian pre-salt play.",True
carbonate build-up,"Carbonate build-up is a carbonate depositional body that forms localized positive relief by aggradational, in-place growth, commonly near fault-controlled structural highs in the Barra Velha interval and often associated with hydrothermal influence. In Brazilian Pre-Salt seismic data, it is typically expressed by chaotic to low-amplitude internal reflectors, intermediate to high acoustic impedance, and geometries onlapped and later overlain by evaporites. These bodies are commonly inferred to contain shrubby and spherulitic carbonates and to have among the highest porosity and permeability of the reservoir facies.",True
